wet_temp,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
16.01750652,POL,Poland,POL.11_1,Pomorskie,Province|Voivodeship
17.6567262,RUS,Russia,RUS.70_1,Tula,Region
18.1340914,RUS,Russia,RUS.75_1,Ul'yanovsk,Region
19.5143665,RUS,Russia,RUS.62_1,Samara,Region
15.09196062,KAZ,Kazakhstan,KAZ.10_1,Qostanay,Region
5.944413664,IRL,Ireland,IRL.21_1,Sligo,County
5.528291429,IRL,Ireland,IRL.12_1,Leitrim,County
16.53312545,DEU,Germany,DEU.8_1,Mecklenburg-Vorpommern,State
16.95903028,POL,Poland,POL.16_1,Zachodniopomorskie,Province|Voivodeship
16.69201361,POL,Poland,POL.14_1,Warmińsko-Mazurskie,Province|Voivodeship
16.19965762,LTU,Lithuania,LTU.1_1,Alytaus,County
16.55166576,BLR,Belarus,BLR.4_1,Mahilyow,Region
19.58097665,KAZ,Kazakhstan,KAZ.8_1,Pavlodar,Region
7.211833623,IRL,Ireland,IRL.16_1,Mayo,County
5.88282294,IRL,Ireland,IRL.2_1,Cavan,County
6.28707408,IRL,Ireland,IRL.18_1,Monaghan,County
6.8922501,IMN,Isle of Man,IMN.4_1,Michael, 
6.5055699,IMN,Isle of Man,IMN.2_1,Garff, 
16.50629372,POL,Poland,POL.10_1,Podlaskie,Province|Voivodeship
19.43229969,RUS,Russia,RUS.53_1,Orenburg,Region
17.67667151,RUS,Russia,RUS.2_1,Altay,Territory
9.652640371,RUS,Russia,RUS.61_1,Sakhalin,Region
5.882557236,IRL,Ireland,IRL.20_1,Roscommon,County
7.5102401,IMN,Isle of Man,IMN.6_1,Rushen, 
5.433740167,IRL,Ireland,IRL.15_1,Louth,County
16.94597133,RUS,Russia,RUS.8_1,Bryansk,Region
18.02918658,RUS,Russia,RUS.54_1,Penza,Region
5.6608251,IRL,Ireland,IRL.14_1,Longford,County
5.962452525,IRL,Ireland,IRL.17_1,Meath,County
13.62671665,DEU,Germany,DEU.9_1,Niedersachsen,State
17.27721653,POL,Poland,POL.2_1,Kujawsko-Pomorskie,Province|Voivodeship
18.37048178,RUS,Russia,RUS.67_1,Tambov,Region
11.84299997,RUS,Russia,RUS.71_1,Tuva,Republic
7.550068883,IRL,Ireland,IRL.7_1,Galway,County
6.891666667,IRL,Ireland,IRL.24_1,Westmeath,County
6.3807825,IRL,Ireland,IRL.6_1,Dublin,County
16.46940043,DEU,Germany,DEU.5_1,Bremen,State
16.78975984,DEU,Germany,DEU.6_1,Hamburg,State
17.46589728,POL,Poland,POL.15_1,Wielkopolskie,Province|Voivodeship
17.5169653,RUS,Russia,RUS.52_1,Orel,Region
18.38339179,KAZ,Kazakhstan,KAZ.2_1,Aqmola,Region
6.30919601,IRL,Ireland,IRL.9_1,Kildare,County
6.212094938,GBR,United Kingdom,GBR.4_1,Wales,Principality
9.782132259,NLD,Netherlands,NLD.3_1,Friesland,Province
10.35493986,NLD,Netherlands,NLD.5_1,Groningen,Province
17.41873474,DEU,Germany,DEU.4_1,Brandenburg,State
17.34405796,POL,Poland,POL.7_1,Mazowieckie,Province|Voivodeship
18.32496456,RUS,Russia,RUS.39_1,Lipetsk,Region
19.05847772,CHN,China,CHN.11_1,Heilongjiang,Province
7.375134411,IRL,Ireland,IRL.19_1,Offaly,County
16.50611252,BLR,Belarus,BLR.1_1,Brest,Region
17.1935854,BLR,Belarus,BLR.2_1,Homyel',Region
19.41363563,CHN,China,CHN.19_1,Nei Mongol,Autonomous Region
7.236177927,IRL,Ireland,IRL.3_1,Clare,County
6.053706065,IRL,Ireland,IRL.22_1,Tipperary,County
6.751652914,IRL,Ireland,IRL.11_1,Laoighis,County
5.74155503,IRL,Ireland,IRL.26_1,Wicklow,County
10.40344651,NLD,Netherlands,NLD.9_1,Noord-Holland,Province
6.173696123,NLD,Netherlands,NLD.1_1,Drenthe,Province
17.53457431,POL,Poland,POL.5_1,Lubuskie,Province|Voivodeship
10.42732301,NLD,Netherlands,NLD.6_1,IJsselmeer,Water body
16.56400386,DEU,Germany,DEU.13_1,Sachsen-Anhalt,State
6.117341144,IRL,Ireland,IRL.10_1,Kilkenny,County
6.1224799,IRL,Ireland,IRL.1_1,Carlow,County
6.701955825,IRL,Ireland,IRL.25_1,Wexford,County
8.803452814,NLD,Netherlands,NLD.2_1,Flevoland,Province
5.691559338,NLD,Netherlands,NLD.10_1,Overijssel,Province
17.16027214,RUS,Russia,RUS.63_1,Saratov,Region
6.477158431,IRL,Ireland,IRL.13_1,Limerick,County
17.92592012,DEU,Germany,DEU.3_1,Berlin,State
10.93367451,RUS,Russia,RUS.16_1,Gorno-Altay,Republic
6.852598926,IRL,Ireland,IRL.8_1,Kerry,County
5.840945038,NLD,Netherlands,NLD.4_1,Gelderland,Province
9.446238712,DEU,Germany,DEU.10_1,Nordrhein-Westfalen,State
17.96842639,RUS,Russia,RUS.37_1,Kursk,Region
6.548802478,IRL,Ireland,IRL.4_1,Cork,County
5.4930966,IRL,Ireland,IRL.23_1,Waterford,County
7.3798534,NLD,Netherlands,NLD.11_1,Utrecht,Province
17.36610358,POL,Poland,POL.3_1,Łódzkie,Province|Voivodeship
17.82319024,UKR,Ukraine,UKR.2_1,Chernihiv,Region
18.05502223,UKR,Ukraine,UKR.21_1,Sumy,Region
9.90482575,NLD,Netherlands,NLD.14_1,Zuid-Holland,Province
17.13000177,POL,Poland,POL.4_1,Lubelskie,Province|Voivodeship
18.94618595,RUS,Russia,RUS.79_1,Voronezh,Region
10.71125401,MNG,Mongolia,MNG.14_1,Hövsgöl,Province
16.50238781,UKR,Ukraine,UKR.25_1,Volyn,Region
16.90034439,UKR,Ukraine,UKR.19_1,Rivne,Region
11.1294667,NLD,Netherlands,NLD.13_1,Zeeuwse meren,Water body
6.998510048,NLD,Netherlands,NLD.8_1,Noord-Brabant,Province
13.55579715,NLD,Netherlands,NLD.7_1,Limburg,Province
16.61746304,POL,Poland,POL.1_1,Dolnośląskie,Province|Voivodeship
10.85502833,KAZ,Kazakhstan,KAZ.13_1,West Kazakhstan,Region
10.75963279,NLD,Netherlands,NLD.12_1,Zeeland,Province
10.25562358,DEU,Germany,DEU.7_1,Hessen,State
13.63983007,DEU,Germany,DEU.16_1,Thüringen,State
16.87918187,DEU,Germany,DEU.14_1,Sachsen,State
16.98448417,UKR,Ukraine,UKR.27_1,Zhytomyr,Region
16.16546844,KAZ,Kazakhstan,KAZ.5_1,East Kazakhstan,Region
9.736248516,BEL,Belgium,BEL.2_1,Vlaanderen,Region
18.28380548,UKR,Ukraine,UKR.12_1,Kiev,Region
17.20732829,POL,Poland,POL.13_1,Świętokrzyskie,Province|Voivodeship
18.80874647,RUS,Russia,RUS.7_1,Belgorod,Region
13.04972983,KAZ,Kazakhstan,KAZ.3_1,Aqtöbe,Region
11.62037093,KAZ,Kazakhstan,KAZ.9_1,Qaraghandy,Region
17.15351384,POL,Poland,POL.8_1,Opolskie,Province|Voivodeship
16.84561516,POL,Poland,POL.12_1,Śląskie,Province|Voivodeship
19.54867646,RUS,Russia,RUS.77_1,Volgograd,Region
9.133605585,FRA,France,FRA.7_1,Hauts-de-France,Region
8.711744015,DEU,Germany,DEU.11_1,Rheinland-Pfalz,State
16.75539593,CZE,Czech Republic,CZE.13_1,Ústecký,Region
15.83558559,CZE,Czech Republic,CZE.6_1,Liberecký,Region
7.906319282,BEL,Belgium,BEL.3_1,Wallonie,Region
15.9296136,CZE,Czech Republic,CZE.5_1,Královéhradecký,Region
16.31670651,POL,Poland,POL.9_1,Podkarpackie,Province|Voivodeship
15.69913431,MNG,Mongolia,MNG.22_1,Uvs,Province
16.80942084,CZE,Czech Republic,CZE.12_1,Středočeský,Region
15.14602814,UKR,Ukraine,UKR.14_1,L'viv,Region
16.74905817,UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Region
18.7149749,UKR,Ukraine,UKR.11_1,Kiev City,Independent City
15.18621993,DEU,Germany,DEU.2_1,Bayern, 
15.01665623,CZE,Czech Republic,CZE.3_1,Karlovarský,Region
16.16824991,CZE,Czech Republic,CZE.8_1,Olomoucký,Region
16.49408861,POL,Poland,POL.6_1,Małopolskie,Province|Voivodeship
18.85414609,UKR,Ukraine,UKR.18_1,Poltava,Region
18.30445512,UKR,Ukraine,UKR.8_1,Kharkiv,Region
16.30411256,MNG,Mongolia,MNG.18_1,Selenge,Province
15.92648003,CZE,Czech Republic,CZE.7_1,Moravskoslezský,Region
15.66800976,UKR,Ukraine,UKR.22_1,Ternopil',Region
14.26168154,MNG,Mongolia,MNG.4_1,Bulgan,Province
18.38257125,MNG,Mongolia,MNG.6_1,Dornod,Province
9.084247131,FRA,France,FRA.6_1,Grand Est,Region
2.22942604,LUX,Luxembourg,LUX.1_1,Diekirch,District
16.60824965,CZE,Czech Republic,CZE.11_1,Prague,Region
16.22731912,CZE,Czech Republic,CZE.9_1,Pardubický,Region
18.43881585,UKR,Ukraine,UKR.1_1,Cherkasy,Region
19.58044394,RUS,Russia,RUS.58_1,Rostov,Region
7.600069979,FRA,France,FRA.9_1,Normandie,Region
15.76621654,CZE,Czech Republic,CZE.10_1,Plzeňský,Region
18.56948942,UKR,Ukraine,UKR.15_1,Luhans'k,Region
9.655009461,MNG,Mongolia,MNG.2_1,Bayan-Ölgiy,Province
12.91075882,MNG,Mongolia,MNG.9_1,Dzavhan,Province
4.26904992,LUX,Luxembourg,LUX.3_1,Luxembourg,District
5.5027099,LUX,Luxembourg,LUX.2_1,Grevenmacher,District
12.79827795,DEU,Germany,DEU.1_1,Baden-Württemberg,State
16.1215438,CZE,Czech Republic,CZE.4_1,Kraj Vysočina,Region
17.43432731,UKR,Ukraine,UKR.24_1,Vinnytsya,Region
16.86769366,MNG,Mongolia,MNG.5_1,Darhan-Uul,Municipality
