elevation,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
207.875,GBR,United Kingdom,GBR.4_1,Wales,Principality
-0.411764706,NLD,Netherlands,NLD.3_1,Friesland,Province
-0.75,NLD,Netherlands,NLD.5_1,Groningen,Province
63.91666667,DEU,Germany,DEU.4_1,Brandenburg,State
128.704142,POL,Poland,POL.7_1,Mazowieckie,Province|Voivodeship
168.9090909,RUS,Russia,RUS.39_1,Lipetsk,Region
314.4277721,CHN,China,CHN.11_1,Heilongjiang,Province
103.3333333,IRL,Ireland,IRL.19_1,Offaly,County
151.8543046,BLR,Belarus,BLR.1_1,Brest,Region
135.3020833,BLR,Belarus,BLR.2_1,Homyel',Region
998.9340494,CHN,China,CHN.19_1,Nei Mongol,Autonomous Region
80.86666667,IRL,Ireland,IRL.3_1,Clare,County
136.1304348,IRL,Ireland,IRL.22_1,Tipperary,County
119.8571429,IRL,Ireland,IRL.11_1,Laoighis,County
223.4,IRL,Ireland,IRL.26_1,Wicklow,County
-0.571428571,NLD,Netherlands,NLD.9_1,Noord-Holland,Province
10.07692308,NLD,Netherlands,NLD.1_1,Drenthe,Province
81.36363636,POL,Poland,POL.5_1,Lubuskie,Province|Voivodeship
-1,NLD,Netherlands,NLD.6_1,IJsselmeer,Water body
117.4731183,DEU,Germany,DEU.13_1,Sachsen-Anhalt,State
114.6666667,IRL,Ireland,IRL.10_1,Kilkenny,County
152.75,IRL,Ireland,IRL.1_1,Carlow,County
58.08333333,IRL,Ireland,IRL.25_1,Wexford,County
-2.571428571,NLD,Netherlands,NLD.2_1,Flevoland,Province
11.8125,NLD,Netherlands,NLD.10_1,Overijssel,Province
115.1053763,RUS,Russia,RUS.63_1,Saratov,Region
88.46153846,IRL,Ireland,IRL.13_1,Limerick,County
43.4,DEU,Germany,DEU.3_1,Berlin,State
1676.525701,RUS,Russia,RUS.16_1,Gorno-Altay,Republic
143.9473684,IRL,Ireland,IRL.8_1,Kerry,County
18.95833333,NLD,Netherlands,NLD.4_1,Gelderland,Province
181.5541401,DEU,Germany,DEU.10_1,Nordrhein-Westfalen,State
200.7162162,RUS,Russia,RUS.37_1,Kursk,Region
133.85,IRL,Ireland,IRL.4_1,Cork,County
114.1666667,IRL,Ireland,IRL.23_1,Waterford,County
4,NLD,Netherlands,NLD.11_1,Utrecht,Province
170.297619,POL,Poland,POL.3_1,Łódzkie,Province|Voivodeship
135.0454545,UKR,Ukraine,UKR.2_1,Chernihiv,Region
161.037037,UKR,Ukraine,UKR.21_1,Sumy,Region
-0.857142857,NLD,Netherlands,NLD.14_1,Zuid-Holland,Province
193.3504274,POL,Poland,POL.4_1,Lubelskie,Province|Voivodeship
146.293617,RUS,Russia,RUS.79_1,Voronezh,Region
1869.642857,MNG,Mongolia,MNG.14_1,Hövsgöl,Province
181.0612245,UKR,Ukraine,UKR.25_1,Volyn,Region
184.6907216,UKR,Ukraine,UKR.19_1,Rivne,Region
-0.333333333,NLD,Netherlands,NLD.13_1,Zeeuwse meren,Water body
12.43478261,NLD,Netherlands,NLD.8_1,Noord-Brabant,Province
47.81818182,NLD,Netherlands,NLD.7_1,Limburg,Province
247.6521739,POL,Poland,POL.1_1,Dolnośląskie,Province|Voivodeship
29.58536585,KAZ,Kazakhstan,KAZ.13_1,West Kazakhstan,Region
0.571428571,NLD,Netherlands,NLD.12_1,Zeeland,Province
304.8541667,DEU,Germany,DEU.7_1,Hessen,State
367.5384615,DEU,Germany,DEU.16_1,Thüringen,State
292.1084337,DEU,Germany,DEU.14_1,Sachsen,State
201.7424242,UKR,Ukraine,UKR.27_1,Zhytomyr,Region
733.5890411,KAZ,Kazakhstan,KAZ.5_1,East Kazakhstan,Region
30.85074627,BEL,Belgium,BEL.2_1,Vlaanderen,Region
149.71875,UKR,Ukraine,UKR.12_1,Kiev,Region
244.0943396,POL,Poland,POL.13_1,Świętokrzyskie,Province|Voivodeship
180.0310078,RUS,Russia,RUS.7_1,Belgorod,Region
192.2013575,KAZ,Kazakhstan,KAZ.3_1,Aqtöbe,Region
486.2801932,KAZ,Kazakhstan,KAZ.9_1,Qaraghandy,Region
204.6046512,POL,Poland,POL.8_1,Opolskie,Province|Voivodeship
317.0377358,POL,Poland,POL.12_1,Śląskie,Province|Voivodeship
94.22637795,RUS,Russia,RUS.77_1,Volgograd,Region
98.00680272,FRA,France,FRA.7_1,Hauts-de-France,Region
320.5434783,DEU,Germany,DEU.11_1,Rheinland-Pfalz,State
392.7916667,CZE,Czech Republic,CZE.13_1,Ústecký,Region
450.2142857,CZE,Czech Republic,CZE.6_1,Liberecký,Region
255.6438356,BEL,Belgium,BEL.3_1,Wallonie,Region
421.6363636,CZE,Czech Republic,CZE.5_1,Královéhradecký,Region
302.8961039,POL,Poland,POL.9_1,Podkarpackie,Province|Voivodeship
1453.246753,MNG,Mongolia,MNG.22_1,Uvs,Province
351.9791667,CZE,Czech Republic,CZE.12_1,Středočeský,Region
346.5729167,UKR,Ukraine,UKR.14_1,L'viv,Region
281.2857143,UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Region
137,UKR,Ukraine,UKR.11_1,Kiev City,Independent City
514.2750809,DEU,Germany,DEU.2_1,Bayern, 
616.8125,CZE,Czech Republic,CZE.3_1,Karlovarský,Region
416.1363636,CZE,Czech Republic,CZE.8_1,Olomoucký,Region
426.7285714,POL,Poland,POL.6_1,Małopolskie,Province|Voivodeship
113.3230769,UKR,Ukraine,UKR.18_1,Poltava,Region
147.7318841,UKR,Ukraine,UKR.8_1,Kharkiv,Region
1045.780105,MNG,Mongolia,MNG.18_1,Selenge,Province
449.56,CZE,Czech Republic,CZE.7_1,Moravskoslezský,Region
321.0655738,UKR,Ukraine,UKR.22_1,Ternopil',Region
1334.090047,MNG,Mongolia,MNG.4_1,Bulgan,Province
803.4649446,MNG,Mongolia,MNG.6_1,Dornod,Province
265.24,FRA,France,FRA.6_1,Grand Est,Region
411.2,LUX,Luxembourg,LUX.1_1,Diekirch,District
266,CZE,Czech Republic,CZE.11_1,Prague,Region
422.8095238,CZE,Czech Republic,CZE.9_1,Pardubický,Region
159.0105263,UKR,Ukraine,UKR.1_1,Cherkasy,Region
92.21281465,RUS,Russia,RUS.58_1,Rostov,Region
130.6793893,FRA,France,FRA.9_1,Normandie,Region
542.6666667,CZE,Czech Republic,CZE.10_1,Plzeňský,Region
148.8211382,UKR,Ukraine,UKR.15_1,Luhans'k,Region
2476.748768,MNG,Mongolia,MNG.2_1,Bayan-Ölgiy,Province
1961.828255,MNG,Mongolia,MNG.9_1,Dzavhan,Province
313,LUX,Luxembourg,LUX.3_1,Luxembourg,District
285,LUX,Luxembourg,LUX.2_1,Grevenmacher,District
489.5555556,DEU,Germany,DEU.1_1,Baden-Württemberg,State
533.3125,CZE,Czech Republic,CZE.4_1,Kraj Vysočina,Region
254.2307692,UKR,Ukraine,UKR.24_1,Vinnytsya,Region
940.75,MNG,Mongolia,MNG.5_1,Darhan-Uul,Municipality
314.1818182,DEU,Germany,DEU.12_1,Saarland,State
564.5348837,CZE,Czech Republic,CZE.1_1,Jihočeský,Region
320.7058824,CZE,Czech Republic,CZE.2_1,Jihomoravský,Region
766.2258065,SVK,Slovakia,SVK.8_1,Žilinský,Region
426.2222222,CZE,Czech Republic,CZE.14_1,Zlínský,Region
560.6341463,SVK,Slovakia,SVK.5_1,Prešovský,Region
561.140625,UKR,Ukraine,UKR.7_1,Ivano-Frankivs'k,Region
219.3291139,RUS,Russia,RUS.82_1,Yevrey,Autonomous Region
365.7909664,USA,United States,USA.24_1,Minnesota,State
60,JEY,Jersey,JEY.9_1,Saint Ouen,Parish
443.75,SVK,Slovakia,SVK.6_1,Trenčiansky,Region
1271.465909,MNG,Mongolia,MNG.12_1,Hentiy,Province
109.52,FRA,France,FRA.8_1,Île-de-France,Region
566.037037,UKR,Ukraine,UKR.23_1,Transcarpathia,Region
163.4095238,UKR,Ukraine,UKR.13_1,Kirovohrad,Region
105.1048951,UKR,Ukraine,UKR.5_1,Dnipropetrovs'k,Region
150.3628319,UKR,Ukraine,UKR.6_1,Donets'k,Region
-3.962301587,KAZ,Kazakhstan,KAZ.4_1,Atyrau,Region
1896.173104,CHN,China,CHN.28_1,Xinjiang Uygur,Autonomous Region
1975.646809,MNG,Mongolia,MNG.1_1,Arhangay,Province
1281.75,MNG,Mongolia,MNG.16_1,Orhon,Municipality
1432.943574,MNG,Mongolia,MNG.20_1,Töv,Province
704.025266,USA,United States,USA.48_1,Washington,State
1597.908987,USA,United States,USA.13_1,Idaho,State
1254.804908,USA,United States,USA.27_1,Montana,State
553.2657068,USA,United States,USA.35_1,North Dakota,State
461.8352941,AUT,Austria,AUT.3_1,Niederösterreich,State
515.4634146,SVK,Slovakia,SVK.1_1,Banskobystrický,Region
371.0645161,SVK,Slovakia,SVK.3_1,Košický,Region
1814.404834,MNG,Mongolia,MNG.13_1,Hovd,Province
98.74576271,FRA,France,FRA.3_1,Bretagne,Region
146.3045977,FRA,France,FRA.4_1,Centre-Val de Loire,Region
183.3529412,SVK,Slovakia,SVK.7_1,Trnavský,Region
-13.89340102,RUS,Russia,RUS.5_1,Astrakhan',Region
597.9607843,AUT,Austria,AUT.4_1,Oberösterreich,State
210.3333333,SVK,Slovakia,SVK.2_1,Bratislavský,Region
178.3703704,SVK,Slovakia,SVK.4_1,Nitriansky,Region
390,UKR,Ukraine,UKR.3_1,Chernivtsi,Region
75.94117647,FRA,France,FRA.12_1,Pays de la Loire,Region
188.7096774,HUN,Hungary,HUN.4_1,Borsod-Abaúj-Zemplén,County
209.4,MDA,Moldova,MDA.5_1,Briceni,District
212.25,MDA,Moldova,MDA.25_1,Ocniţa,District
432.9595808,RUS,Russia,RUS.56_1,Primor'ye,Territory
232.3408423,USA,United States,USA.23_1,Michigan,State
346.8708134,FRA,France,FRA.2_1,Bourgogne-Franche-Comté,Region
176,AUT,Austria,AUT.9_1,Wien,State
117.16,HUN,Hungary,HUN.16_1,Szabolcs-Szatmár-Bereg,County
211.3333333,MDA,Moldova,MDA.13_1,Donduseni,District
172.3333333,MDA,Moldova,MDA.31_1,Soroca,District
252.1,HUN,Hungary,HUN.13_1,Nógrád,County
216.9375,HUN,Hungary,HUN.10_1,Heves,County
183.55,ROU,Romania,ROU.34_1,Satu Mare,County
179.4285714,ROU,Romania,ROU.7_1,Botoșani,County
175.3333333,MDA,Moldova,MDA.16_1,Edineţ,District
170.6,MDA,Moldova,MDA.28_1,Rîşcani,District
173,MDA,Moldova,MDA.14_1,Drochia,District
165.8333333,MDA,Moldova,MDA.18_1,Floreşti,District
109,MDA,Moldova,MDA.36_1,Transnistria,Territorial Unit
93.77697842,UKR,Ukraine,UKR.17_1,Odessa,Region
83.75490196,UKR,Ukraine,UKR.16_1,Mykolayiv,Region
87.86607143,UKR,Ukraine,UKR.26_1,Zaporizhzhya,Region
17.88888889,RUS,Russia,RUS.22_1,Kalmyk,Republic
1514.5,MNG,Mongolia,MNG.21_1,Ulaanbaatar,Municipality
180.221865,CAN,Canada,CAN.4_1,New Brunswick,Province
1418,AUT,Austria,AUT.5_1,Salzburg,State
278.1176471,AUT,Austria,AUT.1_1,Burgenland,State
131.6470588,HUN,Hungary,HUN.8_1,Gyor-Moson-Sopron,County
157,HUN,Hungary,HUN.14_1,Pest,County
100.1538462,HUN,Hungary,HUN.9_1,Hajdú-Bihar,County
672.2068966,ROU,Romania,ROU.27_1,Maramureș,County
767.4054054,ROU,Romania,ROU.36_1,Suceava,County
210.6666667,MDA,Moldova,MDA.30_1,Şoldăneşti,District
623,CHE,Switzerland,CHE.17_1,Schaffhausen,Canton
980.9,AUT,Austria,AUT.6_1,Steiermark,State
197.25,HUN,Hungary,HUN.12_1,Komárom-Esztergom,County
134.75,MDA,Moldova,MDA.20_1,Glodeni,District
141,MDA,Moldova,MDA.2_1,Bălţi,City
147.75,MDA,Moldova,MDA.29_1,Sîngerei,District
173,MDA,Moldova,MDA.27_1,Rezina,District
110.6324153,KAZ,Kazakhstan,KAZ.11_1,Qyzylorda,Region
1716.474138,MNG,Mongolia,MNG.10_1,Govi-Altay,Province
1075.947674,MNG,Mongolia,MNG.19_1,Sühbaatar,Province
473,CHE,Switzerland,CHE.1_1,Aargau,Canton
507.375,CHE,Switzerland,CHE.26_1,Zürich,Canton
520.2,CHE,Switzerland,CHE.20_1,Thurgau,Canton
1718.5,AUT,Austria,AUT.7_1,Tirol,State
119,HUN,Hungary,HUN.5_1,Budapest,Capital City
85.5,HUN,Hungary,HUN.11_1,Jász-Nagykun-Szolnok,County
658.75,ROU,Romania,ROU.6_1,Bistrița-Năsăud,County
121.25,MDA,Moldova,MDA.17_1,Făleşti,District
104.5,MDA,Moldova,MDA.35_1,Teleneşti,District
141.25,MDA,Moldova,MDA.26_1,Orhei,District
1821.834711,MNG,Mongolia,MNG.3_1,Bayanhongor,Province
236.9365994,USA,United States,USA.20_1,Maine,State
582.5,CHE,Switzerland,CHE.11_1,Jura,Canton
577.6666667,CHE,Switzerland,CHE.4_1,Basel-Landschaft,Canton
632,CHE,Switzerland,CHE.19_1,Solothurn,Canton
1010.222222,CHE,Switzerland,CHE.16_1,Sankt Gallen,Canton
542,CHE,Switzerland,CHE.2_1,Appenzell Ausserrhoden,Canton
1383.181818,AUT,Austria,AUT.8_1,Vorarlberg,State
208.8461538,HUN,Hungary,HUN.18_1,Vas,County
227.7894737,HUN,Hungary,HUN.19_1,Veszprém,County
151.8823529,HUN,Hungary,HUN.7_1,Fejér,County
322.9032258,ROU,Romania,ROU.5_1,Bihor,County
345.375,ROU,Romania,ROU.33_1,Sălaj,County
181.3333333,ROU,Romania,ROU.24_1,Iași,County
