,elevation,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
RUS.40_1,RUS,Russia,RUS.40_1,Maga Buryatdan,Region,350.22473449811577
ISL.4_1,ISL,Iceland,ISL.4_1,Norðurland vestra,Region,678.6823529411764
ISL.1_1,ISL,Iceland,ISL.1_1,Austurland,Region,1230.124183006536
RUS.30_1,RUS,Russia,RUS.30_1,Khanty-Mansiy,Autonomous Province,543.0823924321026
ISL.8_1,ISL,Iceland,ISL.8_1,Vesturland,Region,876.234375
NOR.9_1,NOR,Norway,NOR.9_1,Nord-Trøndelag,County,1180.4113924050632
SWE.6_1,SWE,Sweden,SWE.6_1,Jämtland,County,681.6206896551724
ISL.5_1,ISL,Iceland,ISL.5_1,Suðurland,Region,1330.4060606060607
RUS.24_1,RUS,Russia,RUS.24_1,Kamchatka,Territory,579.5634022629731
ISL.3_1,ISL,Iceland,ISL.3_1,Höfuðborgarsvæði,Region,1097.1666666666667
NOR.15_1,NOR,Norway,NOR.15_1,Sør-Trøndelag,County,1035.7777777777778
RUS.18_1,RUS,Russia,RUS.18_1,Irkutsk,Region,404.47404172731683
FIN.5_1,FIN,Finland,FIN.5_1,Western Finland,Province,604.6068222621185
ISL.6_1,ISL,Iceland,ISL.6_1,Suðurnes,Independent Town,1049.2
SWE.19_1,SWE,Sweden,SWE.19_1,Västernorrland,County,656.3904109589041
FIN.1_1,FIN,Finland,FIN.1_1,Eastern Finland,Province,627.4588528678304
CAN.11_1,CAN,Canada,CAN.11_1,Québec,Province,787.2662801671835
NOR.8_1,NOR,Norway,NOR.8_1,Møre og Romsdal,County,1580.3465346534654
GRL.1_1,GRL,Greenland,GRL.1_1,Kujalleq,Commune,1467.3985507246377
NOR.6_1,NOR,Norway,NOR.6_1,Hedmark,County,688.1197604790419
RUS.28_1,RUS,Russia,RUS.28_1,Khabarovsk,Territory,587.3301265822785
FRO.1_1,FRO,Faroe Islands,FRO.1_1,Eysturoyar,Region,2909.0
FRO.2_1,FRO,Faroe Islands,FRO.2_1,Norderøerne,Region,2890.0
NOR.11_1,NOR,Norway,NOR.11_1,Oppland,County,802.8675496688742
SWE.3_1,SWE,Sweden,SWE.3_1,Gävleborg,County,651.017094017094
FRO.6_1,FRO,Faroe Islands,FRO.6_1,Vågø,Region,2740.0
FRO.4_1,FRO,Faroe Islands,FRO.4_1,Streymoyar,Region,2849.0
SWE.2_1,SWE,Sweden,SWE.2_1,Dalarna,County,708.989010989011
NOR.14_1,NOR,Norway,NOR.14_1,Sogn og Fjordane,County,2058.759259259259
RUS.66_1,RUS,Russia,RUS.66_1,Sverdlovsk,Region,532.3921933085502
FIN.4_1,FIN,Finland,FIN.4_1,Southern Finland,Province,651.3970588235294
FRO.5_1,FRO,Faroe Islands,FRO.5_1,Suðuroyar,Region,2499.0
RUS.78_1,RUS,Russia,RUS.78_1,Vologda,Region,607.0
RUS.55_1,RUS,Russia,RUS.55_1,Perm',Territory,649.2379385964912
RUS.38_1,RUS,Russia,RUS.38_1,Leningrad,Region,671.0763052208836
NOR.7_1,NOR,Norway,NOR.7_1,Hordaland,County,2259.065934065934
NOR.4_1,NOR,Norway,NOR.4_1,Buskerud,County,805.4827586206897
SWE.17_1,SWE,Sweden,SWE.17_1,Värmland,County,747.8225806451613
RUS.31_1,RUS,Russia,RUS.31_1,Kirov,Region,592.6631578947369
RUS.69_1,RUS,Russia,RUS.69_1,Tomsk,Region,515.9329512893983
GBR.3_1,GBR,United Kingdom,GBR.3_1,Scotland,Kingdom,1486.3129411764705
CAN.5_1,CAN,Canada,CAN.5_1,Newfoundland and Labrador,Province,1013.2016376663255
SWE.16_1,SWE,Sweden,SWE.16_1,Uppsala,County,587.2444444444444
NOR.1_1,NOR,Norway,NOR.1_1,Akershus,County,807.2758620689655
ALA.5_1,ALA,Åland,ALA.5_1,Geta,Municipality,570.0
SWE.20_1,SWE,Sweden,SWE.20_1,Västmanland,County,630.7380952380952
ALA.2_1,ALA,Åland,ALA.2_1,Eckerö,Municipality,555.0
ALA.6_1,ALA,Åland,ALA.6_1,Hammarland,Municipality,559.0
ALA.3_1,ALA,Åland,ALA.3_1,Finström,Municipality,576.0
ALA.15_1,ALA,Åland,ALA.15_1,Sund,Municipality,588.0
ALA.16_1,ALA,Åland,ALA.16_1,Vårdö,Municipality,567.0
RUS.14_1,RUS,Russia,RUS.14_1,City of St. Petersburg,City,641.3636363636364
NOR.16_1,NOR,Norway,NOR.16_1,Telemark,County,1000.4886363636364
NOR.12_1,NOR,Norway,NOR.12_1,Oslo,County,896.0
SWE.15_1,SWE,Sweden,SWE.15_1,Stockholm,County,573.7692307692307
ALA.12_1,ALA,Åland,ALA.12_1,Mariehamn,Municipality,582.0
ALA.10_1,ALA,Åland,ALA.10_1,Lemland,Municipality,578.0
ALA.11_1,ALA,Åland,ALA.11_1,Lumparland,Municipality,568.0
ALA.4_1,ALA,Åland,ALA.4_1,Föglö,Municipality,548.0
CAN.2_1,CAN,Canada,CAN.2_1,British Columbia,Province,928.4680360511423
CAN.1_1,CAN,Canada,CAN.1_1,Alberta,Province,463.1040616661725
CAN.12_1,CAN,Canada,CAN.12_1,Saskatchewan,Province,443.5112135176651
CAN.3_1,CAN,Canada,CAN.3_1,Manitoba,Province,488.5224153705398
SWE.11_1,SWE,Sweden,SWE.11_1,Orebro,County,722.0
ALA.8_1,ALA,Åland,ALA.8_1,Kökar,Municipality,529.0
RUS.73_1,RUS,Russia,RUS.73_1,Tyumen',Region,457.02097902097904
NOR.13_1,NOR,Norway,NOR.13_1,Rogaland,County,2129.8
NOR.2_1,NOR,Norway,NOR.2_1,Ãstfold,County,824.3571428571429
NOR.3_1,NOR,Norway,NOR.3_1,Aust-Agder,County,1336.9607843137255
NOR.19_1,NOR,Norway,NOR.19_1,Vestfold,County,917.6153846153846
EST.1_1,EST,Estonia,EST.1_1,Harju,County,672.8
EST.6_1,EST,Estonia,EST.6_1,Lääne-Viru,County,632.8
RUS.33_1,RUS,Russia,RUS.33_1,Kostroma,Region,605.2212389380531
SWE.14_1,SWE,Sweden,SWE.14_1,Södermanland,County,575.5853658536586
EST.3_1,EST,Estonia,EST.3_1,Ida-Viru,County,621.0
SWE.21_1,SWE,Sweden,SWE.21_1,Västra Götaland,County,769.3899371069182
EST.4_1,EST,Estonia,EST.4_1,Järva,County,677.9375
RUS.49_1,RUS,Russia,RUS.49_1,Novgorod,Region,655.28664495114
NOR.18_1,NOR,Norway,NOR.18_1,Vest-Agder,County,1802.8863636363637
EST.2_1,EST,Estonia,EST.2_1,Hiiu,County,627.5
EST.7_1,EST,Estonia,EST.7_1,Lääne,County,636.9230769230769
EST.11_1,EST,Estonia,EST.11_1,Rapla,County,709.3333333333334
SWE.12_1,SWE,Sweden,SWE.12_1,Östergötland,County,587.0
EST.5_1,EST,Estonia,EST.5_1,Jõgeva,County,633.6153846153846
EST.9_1,EST,Estonia,EST.9_1,Peipsi,Water body,595.2727272727273
RUS.57_1,RUS,Russia,RUS.57_1,Pskov,Region,660.7306397306397
RUS.81_1,RUS,Russia,RUS.81_1,Yaroslavl',Region,615.4974093264249
RUS.72_1,RUS,Russia,RUS.72_1,Tver',Region,647.9328859060403
EST.12_1,EST,Estonia,EST.12_1,Saare,County,601.2857142857143
EST.8_1,EST,Estonia,EST.8_1,Pärnu,County,667.6153846153846
EST.15_1,EST,Estonia,EST.15_1,Viljandi,County,663.7619047619048
EST.13_1,EST,Estonia,EST.13_1,Tartu,County,620.6470588235294
RUS.74_1,RUS,Russia,RUS.74_1,Udmurt,Republic,555.5429864253393
RUS.51_1,RUS,Russia,RUS.51_1,Omsk,Region,408.89807162534436
RUS.83_1,RUS,Russia,RUS.83_1,Zabaykal'ye,Territory,410.17004830917875
SWE.7_1,SWE,Sweden,SWE.7_1,Jönköping,County,718.8032786885246
SWE.8_1,SWE,Sweden,SWE.8_1,Kalmar,County,585.1290322580645
EST.14_1,EST,Estonia,EST.14_1,Valga,County,655.2727272727273
EST.10_1,EST,Estonia,EST.10_1,Põlva,County,623.8888888888889
SWE.4_1,SWE,Sweden,SWE.4_1,Gotland,County,557.9
LVA.3_1,LVA,Latvia,LVA.3_1,Riga,Province,653.4
LVA.4_1,LVA,Latvia,LVA.4_1,Vidzeme,Province,695.3417721518987
EST.16_1,EST,Estonia,EST.16_1,Võru,County,653.7333333333333
RUS.47_1,RUS,Russia,RUS.47_1,Nizhegorod,Region,572.1550387596899
LVA.1_1,LVA,Latvia,LVA.1_1,Kurzeme,Province,711.4342105263158
DNK.3_1,DNK,Denmark,DNK.3_1,Nordjylland,Region,696.8571428571429
RUS.19_1,RUS,Russia,RUS.19_1,Ivanovo,Region,594.7438016528926
SWE.5_1,SWE,Sweden,SWE.5_1,Halland,County,967.8709677419355
LVA.2_1,LVA,Latvia,LVA.2_1,Latgale,Province,637.025974025974
RUS.41_1,RUS,Russia,RUS.41_1,Mariy-El,Republic,538.92
SWE.9_1,SWE,Sweden,SWE.9_1,Kronoberg,County,737.8936170212766
RUS.50_1,RUS,Russia,RUS.50_1,Novosibirsk,Region,403.37
RUS.9_1,RUS,Russia,RUS.9_1,Buryat,Republic,418.3162442396313
RUS.44_1,RUS,Russia,RUS.44_1,Moskva,Region,624.643153526971
RUS.3_1,RUS,Russia,RUS.3_1,Amur,Region,559.4824858757062
CAN.9_1,CAN,Canada,CAN.9_1,Ontario,Province,746.7839657282742
DNK.2_1,DNK,Denmark,DNK.2_1,Midtjylland,Region,733.2352941176471
LVA.5_1,LVA,Latvia,LVA.5_1,Zemgale,Province,642.0909090909091
RUS.76_1,RUS,Russia,RUS.76_1,Vladimir,Region,596.771812080537
RUS.36_1,RUS,Russia,RUS.36_1,Kurgan,Region,396.1921052631579
RUS.27_1,RUS,Russia,RUS.27_1,Kemerovo,Region,576.51244813278
RUS.68_1,RUS,Russia,RUS.68_1,Tatarstan,Republic,526.0539772727273
SWE.13_1,SWE,Sweden,SWE.13_1,Skåne,County,719.2333333333333
SWE.1_1,SWE,Sweden,SWE.1_1,Blekinge,County,649.9375
LTU.8_1,LTU,Lithuania,LTU.8_1,Telšiai,County,773.6666666666666
RUS.6_1,RUS,Russia,RUS.6_1,Bashkortostan,Republic,525.0854341736695
LTU.3_1,LTU,Lithuania,LTU.3_1,Klaipedos,County,777.3448275862069
LTU.6_1,LTU,Lithuania,LTU.6_1,Šiauliai,County,630.2888888888889
LTU.5_1,LTU,Lithuania,LTU.5_1,Panevezio,County,614.375
RUS.13_1,RUS,Russia,RUS.13_1,Chuvash,Republic,505.4020618556701
RUS.11_1,RUS,Russia,RUS.11_1,Chelyabinsk,Region,448.9657534246575
DNK.1_1,DNK,Denmark,DNK.1_1,Hovedstaden,Region,589.2
BLR.6_1,BLR,Belarus,BLR.6_1,Vitsyebsk,Region,651.7549019607843
DNK.5_1,DNK,Denmark,DNK.5_1,Syddanmark,Region,758.3529411764706
DNK.4_1,DNK,Denmark,DNK.4_1,Sjælland,Region,591.6315789473684
RUS.64_1,RUS,Russia,RUS.64_1,Smolensk,Region,659.1052631578947
RUS.43_1,RUS,Russia,RUS.43_1,Moscow City,City,661.4285714285714
GBR.1_1,GBR,United Kingdom,GBR.1_1,England,Kingdom,822.5668276972625
LTU.9_1,LTU,Lithuania,LTU.9_1,Utenos,County,640.25
LTU.7_1,LTU,Lithuania,LTU.7_1,Taurages,County,740.9473684210526
LTU.2_1,LTU,Lithuania,LTU.2_1,Kauno,County,616.6666666666666
LTU.10_1,LTU,Lithuania,LTU.10_1,Vilniaus,County,645.7173913043479
IRL.5_1,IRL,Ireland,IRL.5_1,Donegal,County,1737.0
RUS.21_1,RUS,Russia,RUS.21_1,Kaliningrad,Region,706.4492753623189
RUS.23_1,RUS,Russia,RUS.23_1,Kaluga,Region,629.7464788732394
RUS.59_1,RUS,Russia,RUS.59_1,Ryazan',Region,556.2081218274112
KAZ.7_1,KAZ,Kazakhstan,KAZ.7_1,North Kazakhstan,Region,330.98973305954826
RUS.29_1,RUS,Russia,RUS.29_1,Khakass,Republic,551.8823529411765
GBR.2_1,GBR,United Kingdom,GBR.2_1,Northern Ireland,Province,1236.855072463768
LTU.4_1,LTU,Lithuania,LTU.4_1,Marijampoles,County,620.3333333333334
RUS.42_1,RUS,Russia,RUS.42_1,Mordovia,Republic,519.0381679389313
BLR.3_1,BLR,Belarus,BLR.3_1,Hrodna,Region,636.1102362204724
BLR.5_1,BLR,Belarus,BLR.5_1,Minsk,Region,632.1464646464647
DEU.15_1,DEU,Germany,DEU.15_1,Schleswig-Holstein,State,798.4533333333334
POL.11_1,POL,Poland,POL.11_1,Pomorskie,Province|Voivodeship,624.4347826086956
RUS.70_1,RUS,Russia,RUS.70_1,Tula,Region,590.3174603174604
RUS.75_1,RUS,Russia,RUS.75_1,Ul'yanovsk,Region,504.6263736263736
RUS.62_1,RUS,Russia,RUS.62_1,Samara,Region,502.5576923076923
KAZ.10_1,KAZ,Kazakhstan,KAZ.10_1,Qostanay,Region,268.046908315565
IRL.21_1,IRL,Ireland,IRL.21_1,Sligo,County,1435.3636363636363
IRL.12_1,IRL,Ireland,IRL.12_1,Leitrim,County,1343.5714285714287
DEU.8_1,DEU,Germany,DEU.8_1,Mecklenburg-Vorpommern,State,592.7454545454545
POL.16_1,POL,Poland,POL.16_1,Zachodniopomorskie,Province|Voivodeship,613.8928571428571
POL.14_1,POL,Poland,POL.14_1,Warmińsko-Mazurskie,Province|Voivodeship,599.8547008547008
LTU.1_1,LTU,Lithuania,LTU.1_1,Alytaus,County,624.3846153846154
BLR.4_1,BLR,Belarus,BLR.4_1,Mahilyow,Region,620.1048951048951
KAZ.8_1,KAZ,Kazakhstan,KAZ.8_1,Pavlodar,Region,290.6908783783784
IRL.16_1,IRL,Ireland,IRL.16_1,Mayo,County,1243.6333333333334
IRL.2_1,IRL,Ireland,IRL.2_1,Cavan,County,1206.1
IRL.18_1,IRL,Ireland,IRL.18_1,Monaghan,County,1113.6
IMN.4_1,IMN,Isle of Man,IMN.4_1,Michael, ,1048.0
IMN.2_1,IMN,Isle of Man,IMN.2_1,Garff, ,1092.0
POL.10_1,POL,Poland,POL.10_1,Podlaskie,Province|Voivodeship,563.90625
RUS.53_1,RUS,Russia,RUS.53_1,Orenburg,Region,384.2718120805369
RUS.2_1,RUS,Russia,RUS.2_1,Altay,Territory,460.3070175438597
RUS.61_1,RUS,Russia,RUS.61_1,Sakhalin,Region,787.8538461538461
IRL.20_1,IRL,Ireland,IRL.20_1,Roscommon,County,1253.2727272727273
IMN.6_1,IMN,Isle of Man,IMN.6_1,Rushen, ,972.0
IRL.15_1,IRL,Ireland,IRL.15_1,Louth,County,993.3333333333334
RUS.8_1,RUS,Russia,RUS.8_1,Bryansk,Region,630.9939024390244
RUS.54_1,RUS,Russia,RUS.54_1,Penza,Region,530.9712918660288
IRL.14_1,IRL,Ireland,IRL.14_1,Longford,County,1050.1666666666667
IRL.17_1,IRL,Ireland,IRL.17_1,Meath,County,998.4166666666666
DEU.9_1,DEU,Germany,DEU.9_1,Niedersachsen,State,744.1
POL.2_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,Province|Voivodeship,545.797619047619
RUS.67_1,RUS,Russia,RUS.67_1,Tambov,Region,536.3705882352941
RUS.71_1,RUS,Russia,RUS.71_1,Tuva,Republic,376.38354430379746
IRL.7_1,IRL,Ireland,IRL.7_1,Galway,County,1177.1142857142856
IRL.24_1,IRL,Ireland,IRL.24_1,Westmeath,County,1040.888888888889
IRL.6_1,IRL,Ireland,IRL.6_1,Dublin,County,906.75
DEU.5_1,DEU,Germany,DEU.5_1,Bremen,State,698.0
DEU.6_1,DEU,Germany,DEU.6_1,Hamburg,State,742.0
POL.15_1,POL,Poland,POL.15_1,Wielkopolskie,Province|Voivodeship,528.6137931034483
RUS.52_1,RUS,Russia,RUS.52_1,Orel,Region,612.4661016949152
KAZ.2_1,KAZ,Kazakhstan,KAZ.2_1,Aqmola,Region,292.9853372434018
IRL.9_1,IRL,Ireland,IRL.9_1,Kildare,County,904.0
GBR.4_1,GBR,United Kingdom,GBR.4_1,Wales,Principality,1233.8173076923076
NLD.3_1,NLD,Netherlands,NLD.3_1,Friesland,Province,803.1176470588235
NLD.5_1,NLD,Netherlands,NLD.5_1,Groningen,Province,794.75
DEU.4_1,DEU,Germany,DEU.4_1,Brandenburg,State,562.0069444444445
POL.7_1,POL,Poland,POL.7_1,Mazowieckie,Province|Voivodeship,515.1005917159763
RUS.39_1,RUS,Russia,RUS.39_1,Lipetsk,Region,559.9636363636364
CHN.11_1,CHN,China,CHN.11_1,Heilongjiang,Province,545.2792472024415
IRL.19_1,IRL,Ireland,IRL.19_1,Offaly,County,1011.1111111111111
BLR.1_1,BLR,Belarus,BLR.1_1,Brest,Region,599.9271523178808
BLR.2_1,BLR,Belarus,BLR.2_1,Homyel',Region,617.1041666666666
CHN.19_1,CHN,China,CHN.19_1,Nei Mongol,Autonomous Region,295.19097744360903
IRL.3_1,IRL,Ireland,IRL.3_1,Clare,County,1280.9333333333334
IRL.22_1,IRL,Ireland,IRL.22_1,Tipperary,County,1245.2608695652175
IRL.11_1,IRL,Ireland,IRL.11_1,Laoighis,County,1045.7142857142858
IRL.26_1,IRL,Ireland,IRL.26_1,Wicklow,County,1103.6
NLD.9_1,NLD,Netherlands,NLD.9_1,Noord-Holland,Province,815.2857142857143
NLD.1_1,NLD,Netherlands,NLD.1_1,Drenthe,Province,814.6923076923077
POL.5_1,POL,Poland,POL.5_1,Lubuskie,Province|Voivodeship,563.8484848484849
NLD.6_1,NLD,Netherlands,NLD.6_1,IJsselmeer,Water body,799.5
DEU.13_1,DEU,Germany,DEU.13_1,Sachsen-Anhalt,State,564.494623655914
IRL.10_1,IRL,Ireland,IRL.10_1,Kilkenny,County,1045.5555555555557
IRL.1_1,IRL,Ireland,IRL.1_1,Carlow,County,1068.75
IRL.25_1,IRL,Ireland,IRL.25_1,Wexford,County,1030.1666666666667
NLD.2_1,NLD,Netherlands,NLD.2_1,Flevoland,Province,799.1428571428571
NLD.10_1,NLD,Netherlands,NLD.10_1,Overijssel,Province,790.625
RUS.63_1,RUS,Russia,RUS.63_1,Saratov,Region,440.39569892473116
IRL.13_1,IRL,Ireland,IRL.13_1,Limerick,County,1147.6923076923076
DEU.3_1,DEU,Germany,DEU.3_1,Berlin,State,557.6
RUS.16_1,RUS,Russia,RUS.16_1,Gorno-Altay,Republic,509.3224299065421
IRL.8_1,IRL,Ireland,IRL.8_1,Kerry,County,1675.2631578947369
NLD.4_1,NLD,Netherlands,NLD.4_1,Gelderland,Province,801.4583333333334
DEU.10_1,DEU,Germany,DEU.10_1,Nordrhein-Westfalen,State,882.624203821656
RUS.37_1,RUS,Russia,RUS.37_1,Kursk,Region,618.3851351351351
IRL.4_1,IRL,Ireland,IRL.4_1,Cork,County,1310.25
IRL.23_1,IRL,Ireland,IRL.23_1,Waterford,County,1228.0
NLD.11_1,NLD,Netherlands,NLD.11_1,Utrecht,Province,816.6666666666666
POL.3_1,POL,Poland,POL.3_1,Łódzkie,Province|Voivodeship,547.6904761904761
UKR.2_1,UKR,Ukraine,UKR.2_1,Chernihiv,Region,608.2792207792207
UKR.21_1,UKR,Ukraine,UKR.21_1,Sumy,Region,610.8981481481482
NLD.14_1,NLD,Netherlands,NLD.14_1,Zuid-Holland,Province,823.1428571428571
POL.4_1,POL,Poland,POL.4_1,Lubelskie,Province|Voivodeship,544.6923076923077
RUS.79_1,RUS,Russia,RUS.79_1,Voronezh,Region,521.1787234042553
MNG.14_1,MNG,Mongolia,MNG.14_1,Hövsgöl,Province,317.24242424242425
UKR.25_1,UKR,Ukraine,UKR.25_1,Volyn,Region,597.1632653061224
UKR.19_1,UKR,Ukraine,UKR.19_1,Rivne,Region,617.4536082474227
NLD.13_1,NLD,Netherlands,NLD.13_1,Zeeuwse meren,Water body,778.0
NLD.8_1,NLD,Netherlands,NLD.8_1,Noord-Brabant,Province,775.6086956521739
NLD.7_1,NLD,Netherlands,NLD.7_1,Limburg,Province,745.8181818181819
POL.1_1,POL,Poland,POL.1_1,Dolnośląskie,Province|Voivodeship,578.3152173913044
KAZ.13_1,KAZ,Kazakhstan,KAZ.13_1,West Kazakhstan,Region,261.2467718794835
NLD.12_1,NLD,Netherlands,NLD.12_1,Zeeland,Province,781.5714285714286
DEU.7_1,DEU,Germany,DEU.7_1,Hessen,State,791.2291666666666
DEU.16_1,DEU,Germany,DEU.16_1,Thüringen,State,739.5769230769231
DEU.14_1,DEU,Germany,DEU.14_1,Sachsen,State,695.710843373494
UKR.27_1,UKR,Ukraine,UKR.27_1,Zhytomyr,Region,632.7424242424242
KAZ.5_1,KAZ,Kazakhstan,KAZ.5_1,East Kazakhstan,Region,350.8799355358582
BEL.2_1,BEL,Belgium,BEL.2_1,Vlaanderen,Region,781.2835820895523
UKR.12_1,UKR,Ukraine,UKR.12_1,Kiev,Region,588.4765625
POL.13_1,POL,Poland,POL.13_1,Świętokrzyskie,Province|Voivodeship,611.7169811320755
RUS.7_1,RUS,Russia,RUS.7_1,Belgorod,Region,569.8217054263566
KAZ.3_1,KAZ,Kazakhstan,KAZ.3_1,Aqtöbe,Region,214.54751131221718
KAZ.9_1,KAZ,Kazakhstan,KAZ.9_1,Qaraghandy,Region,210.3274288781535
POL.8_1,POL,Poland,POL.8_1,Opolskie,Province|Voivodeship,608.8837209302326
POL.12_1,POL,Poland,POL.12_1,Śląskie,Province|Voivodeship,706.7169811320755
RUS.77_1,RUS,Russia,RUS.77_1,Volgograd,Region,406.3011811023622
FRA.7_1,FRA,France,FRA.7_1,Hauts-de-France,Region,697.7687074829932
DEU.11_1,DEU,Germany,DEU.11_1,Rheinland-Pfalz,State,803.5108695652174
CZE.13_1,CZE,Czech Republic,CZE.13_1,Ústecký,Region,693.5833333333334
CZE.6_1,CZE,Czech Republic,CZE.6_1,Liberecký,Region,639.2142857142857
BEL.3_1,BEL,Belgium,BEL.3_1,Wallonie,Region,896.2054794520548
CZE.5_1,CZE,Czech Republic,CZE.5_1,Královéhradecký,Region,563.2727272727273
POL.9_1,POL,Poland,POL.9_1,Podkarpackie,Province|Voivodeship,675.2857142857143
MNG.22_1,MNG,Mongolia,MNG.22_1,Uvs,Province,187.26298701298703
CZE.12_1,CZE,Czech Republic,CZE.12_1,Středočeský,Region,551.7291666666666
UKR.14_1,UKR,Ukraine,UKR.14_1,L'viv,Region,752.6354166666666
UKR.10_1,UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Region,640.1836734693877
UKR.11_1,UKR,Ukraine,UKR.11_1,Kiev City,Independent City,602.25
DEU.2_1,DEU,Germany,DEU.2_1,Bayern, ,901.4886731391585
CZE.3_1,CZE,Czech Republic,CZE.3_1,Karlovarský,Region,728.0
CZE.8_1,CZE,Czech Republic,CZE.8_1,Olomoucký,Region,631.9090909090909
POL.6_1,POL,Poland,POL.6_1,Małopolskie,Province|Voivodeship,814.3285714285714
UKR.18_1,UKR,Ukraine,UKR.18_1,Poltava,Region,545.7692307692307
UKR.8_1,UKR,Ukraine,UKR.8_1,Kharkiv,Region,545.0869565217391
MNG.18_1,MNG,Mongolia,MNG.18_1,Selenge,Province,342.0994764397906
CZE.7_1,CZE,Czech Republic,CZE.7_1,Moravskoslezský,Region,737.64
UKR.22_1,UKR,Ukraine,UKR.22_1,Ternopil',Region,645.6229508196722
MNG.4_1,MNG,Mongolia,MNG.4_1,Bulgan,Province,354.90521327014216
MNG.6_1,MNG,Mongolia,MNG.6_1,Dornod,Province,265.30073800738006
FRA.6_1,FRA,France,FRA.6_1,Grand Est,Region,803.292
LUX.1_1,LUX,Luxembourg,LUX.1_1,Diekirch,District,917.0
CZE.11_1,CZE,Czech Republic,CZE.11_1,Prague,Region,496.5
CZE.9_1,CZE,Czech Republic,CZE.9_1,Pardubický,Region,548.8095238095239
UKR.1_1,UKR,Ukraine,UKR.1_1,Cherkasy,Region,559.0421052631579
RUS.58_1,RUS,Russia,RUS.58_1,Rostov,Region,487.6636155606407
FRA.9_1,FRA,France,FRA.9_1,Normandie,Region,758.6793893129772
CZE.10_1,CZE,Czech Republic,CZE.10_1,Plzeňský,Region,785.1388888888889
UKR.15_1,UKR,Ukraine,UKR.15_1,Luhans'k,Region,526.8130081300814
MNG.2_1,MNG,Mongolia,MNG.2_1,Bayan-Ölgiy,Province,178.79310344827587
MNG.9_1,MNG,Mongolia,MNG.9_1,Dzavhan,Province,193.80886426592798
LUX.3_1,LUX,Luxembourg,LUX.3_1,Luxembourg,District,855.4
LUX.2_1,LUX,Luxembourg,LUX.2_1,Grevenmacher,District,800.0
DEU.1_1,DEU,Germany,DEU.1_1,Baden-Württemberg,State,980.3333333333334
CZE.4_1,CZE,Czech Republic,CZE.4_1,Kraj Vysočina,Region,570.4375
UKR.24_1,UKR,Ukraine,UKR.24_1,Vinnytsya,Region,611.1452991452992
MNG.5_1,MNG,Mongolia,MNG.5_1,Darhan-Uul,Municipality,313.25
DEU.12_1,DEU,Germany,DEU.12_1,Saarland,State,955.4545454545455
CZE.1_1,CZE,Czech Republic,CZE.1_1,Jihočeský,Region,764.2093023255813
CZE.2_1,CZE,Czech Republic,CZE.2_1,Jihomoravský,Region,565.3235294117648
SVK.8_1,SVK,Slovakia,SVK.8_1,Žilinský,Region,975.3870967741935
