temp_difference,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
14.81647553,SDN,Sudan,SDN.17_1,West Kurdufan,State
10.65125678,YEM,Yemen,YEM.4_1,Al Dali',Governorate
9.069328714,THA,Thailand,THA.27_1,Nakhon Pathom,Province
9.710152895,THA,Thailand,THA.55_1,Sa Kaeo,Province
9.69684211,KHM,Cambodia,KHM.1_1,Bântéay Méanchey,Province
9.05929771,KHM,Cambodia,KHM.21_1,Siemréab,Province
7.416171263,PHL,Philippines,PHL.12_1,Batangas,Province
10.63007498,SLV,El Salvador,SLV.1_1,Ahuachapán,Department
11.30303992,SLV,El Salvador,SLV.5_1,La Libertad,Department
11.38049985,SLV,El Salvador,SLV.4_1,Cuscatlán,Department
11.69537498,SLV,El Salvador,SLV.2_1,Cabañas,Department
11.7761666,SLV,El Salvador,SLV.8_1,Morazán,Department
10.64272002,NIC,Nicaragua,NIC.16_1,Nueva Segovia,Department
5.7411199,LCA,Saint Lucia,LCA.5_1,Dennery,Quarter
14.1123393,BFA,Burkina Faso,BFA.4_1,Centre-Nord,Region
16.22432315,SDN,Sudan,SDN.13_1,Sennar,State
9.492603441,YEM,Yemen,YEM.15_1,Lahij,Governorate
9.429844682,THA,Thailand,THA.52_1,Ratchaburi,Province
8.8384399,THA,Thailand,THA.36_1,Nonthaburi,Province
8.716601617,THA,Thailand,THA.3_1,Bangkok Metropolis,Province
8.893817618,THA,Thailand,THA.6_1,Chachoengsao,Province
7.473179418,PHL,Philippines,PHL.20_1,Camarines Sur,Province
6.0928149,PHL,Philippines,PHL.23_1,Catanduanes,Province
10.9381499,SLV,El Salvador,SLV.13_1,Sonsonate,Department
11.1350999,SLV,El Salvador,SLV.10_1,San Salvador,Department
11.03683343,SLV,El Salvador,SLV.11_1,San Vicente,Department
11.10600503,SLV,El Salvador,SLV.9_1,San Miguel,Department
11.26767996,SLV,El Salvador,SLV.7_1,La Unión,Department
10.74671158,HND,Honduras,HND.2_1,Choluteca,Department
14.0551444,GMB,Gambia,GMB.3_1,Maccarthy Island,Division
13.28830549,NGA,Nigeria,NGA.34_1,Sokoto,State
9.721148914,YEM,Yemen,YEM.21_1,Ta`izz,Governorate
7.792862647,PHL,Philippines,PHL.57_1,Occidental Mindoro,Province
10.18711495,SLV,El Salvador,SLV.6_1,La Paz,Department
10.28883624,SLV,El Salvador,SLV.14_1,Usulután,Department
11.03309994,HND,Honduras,HND.17_1,Valle,Department
10.88927508,NIC,Nicaragua,NIC.12_1,Madriz,Department
13.15154446,GMB,Gambia,GMB.4_1,North Bank,Division
13.28204187,SEN,Senegal,SEN.7_1,Kolda,Region
12.99450283,BFA,Burkina Faso,BFA.1_1,Boucle du Mouhoun,Region
13.6091995,NER,Niger,NER.5_1,Niamey,Capital District
14.6093283,NGA,Nigeria,NGA.8_1,Borno,State
15.09329632,ETH,Ethiopia,ETH.3_1,Amhara,State
8.40291025,THA,Thailand,THA.58_1,Samut Sakhon,Province
8.1168098,THA,Thailand,THA.57_1,Samut Prakan,Province
6.709340657,VNM,Vietnam,VNM.45_1,Phú Yên,Province
5.4601102,GUM,Guam,GUM.18_1,Yigo,Municipality
10.23765098,NIC,Nicaragua,NIC.7_1,Estelí,Department
13.12978332,GMB,Gambia,GMB.2_1,Lower River,Division
13.78021986,GMB,Gambia,GMB.5_1,Upper River,Division
11.98617602,SEN,Senegal,SEN.6_1,Kédougou,Region
13.25483812,BFA,Burkina Faso,BFA.8_1,Est,Region
17.50236389,SDN,Sudan,SDN.4_1,Central Darfur,State
9.748449225,IND,India,IND.31_1,Tamil Nadu,State
6.198029517,IND,India,IND.1_1,Andaman and Nicobar,Union Territory
8.5051098,THA,Thailand,THA.59_1,Samut Songkhram,Province
8.724715707,THA,Thailand,THA.12_1,Chon Buri,Province
8.951383524,KHM,Cambodia,KHM.2_1,Batdâmbâng,Province
7.400635014,PHL,Philippines,PHL.58_1,Oriental Mindoro,Province
7.07791495,PHL,Philippines,PHL.45_1,Marinduque,Province
5.7666101,GUM,Guam,GUM.19_1,Yona,Municipality
9.893703521,NIC,Nicaragua,NIC.5_1,Chinandega,Department
8.839308088,NIC,Nicaragua,NIC.15_1,Matagalpa,Department
6.898639891,NIC,Nicaragua,NIC.2_1,Atlántico Sur,Autonomous Region
5.8069901,VCT,Saint Vincent and the Grenadines,VCT.6_1,Saint Patrick,Parish
5.7167702,BRB,Barbados,BRB.2_1,Saint Andrew,Parish
11.8253835,GMB,Gambia,GMB.6_1,Western,Division
12.98393817,SEN,Senegal,SEN.11_1,Sédhiou,Region
12.97772784,NGA,Nigeria,NGA.21_1,Katsina,State
15.27931108,NGA,Nigeria,NGA.36_1,Yobe,State
15.30374127,TCD,Chad,TCD.8_1,Hadjer-Lamis,Region
8.274707833,THA,Thailand,THA.43_1,Phetchaburi,Province
8.621421426,THA,Thailand,THA.9_1,Chanthaburi,Province
8.45111579,KHM,Cambodia,KHM.6_1,Kâmpóng Thum,Province
8.11082565,KHM,Cambodia,KHM.11_1,Krâchéh,Province
7.809066431,KHM,Cambodia,KHM.14_1,Môndól Kiri,Province
7.889489982,VNM,Vietnam,VNM.15_1,Đắk Lắk,Province
7.282442914,PHL,Philippines,PHL.5_1,Albay,Province
9.70625458,NIC,Nicaragua,NIC.11_1,León,Department
6.0546398,BRB,Barbados,BRB.1_1,Christ Church,Parish
11.71256094,SEN,Senegal,SEN.14_1,Ziguinchor,Region
13.25743979,NGA,Nigeria,NGA.22_1,Kebbi,State
13.18809031,NGA,Nigeria,NGA.37_1,Zamfara,State
15.54181824,SDN,Sudan,SDN.14_1,South Darfur,State
8.46581201,THA,Thailand,THA.53_1,Rayong,Province
14.9443521,NGA,Nigeria,NGA.18_1,Jigawa,State
13.54949203,CMR,Cameroon,CMR.4_1,Extrême-Nord,Region
14.21183945,TCD,Chad,TCD.7_1,Guéra,Region
15.97464635,TCD,Chad,TCD.19_1,Sila,Region
14.87427349,SDN,Sudan,SDN.5_1,East Darfur,State
8.72578,YEM,Yemen,YEM.1_1,`Adan,Governorate
8.81963465,KHM,Cambodia,KHM.12_1,Krong Pailin,Municipality
8.218374783,KHM,Cambodia,KHM.17_1,Pouthisat,Province
6.31943808,PHL,Philippines,PHL.65_1,Romblon,Province
7.061483383,PHL,Philippines,PHL.69_1,Sorsogon,Province
8.153173046,NIC,Nicaragua,NIC.3_1,Boaco,Department
12.91786603,MLI,Mali,MLI.8_1,Sikasso,Region
12.6840308,BFA,Burkina Faso,BFA.5_1,Centre-Ouest,Region
13.41838806,BFA,Burkina Faso,BFA.11_1,Plateau-Central,Region
14.20619752,SDN,Sudan,SDN.15_1,South Kurdufan,State
7.93593257,IND,India,IND.17_1,Kerala,State
8.399123105,VNM,Vietnam,VNM.16_1,Đắk Nông,Province
6.91228604,VNM,Vietnam,VNM.32_1,Khánh Hòa,Province
8.766933792,NIC,Nicaragua,NIC.13_1,Managua,Department
7.46227806,NIC,Nicaragua,NIC.6_1,Chontales,Department
12.48886007,GNB,Guinea-Bissau,GNB.7_1,Oio,Region
12.52047051,GNB,Guinea-Bissau,GNB.1_1,Bafatá,Region
12.37019277,GNB,Guinea-Bissau,GNB.6_1,Gabú,Region
11.65297863,GIN,Guinea,GIN.1_1,Boké,Region
13.28121256,BFA,Burkina Faso,BFA.7_1,Centre,Region
8.640618375,DJI,Djibouti,DJI.4_1,Obock,Region
8.075477921,THA,Thailand,THA.50_1,Prachuap Khiri Khan,Province
8.255601244,THA,Thailand,THA.71_1,Trat,Province
8.074150753,KHM,Cambodia,KHM.4_1,Kâmpóng Chhnang,Province
7.43562203,PHL,Philippines,PHL.46_1,Masbate,Province
9.327748068,COL,Colombia,COL.18_1,La Guajira,Department
11.77783337,GNB,Guinea-Bissau,GNB.5_1,Cacheu,Region
11.72919,GIN,Guinea,GIN.6_1,Labé,Region
15.63387846,GIN,Guinea,GIN.4_1,Kankan,Region
12.80511754,BFA,Burkina Faso,BFA.3_1,Centre-Est,Region
13.28951479,NGA,Nigeria,NGA.20_1,Kano,State
13.07806557,NGA,Nigeria,NGA.5_1,Bauchi,State
14.4205015,TCD,Chad,TCD.4_1,Chari-Baguirmi,Region
15.02629375,SDN,Sudan,SDN.3_1,Blue Nile,State
9.419601985,DJI,Djibouti,DJI.5_1,Tadjourah,Region
