State_Code,State_Name,State_Type,Country_Code,Country_Name,Alt,Rain,pH,Temp_Min,Temp_Max,Texture,Fertility,Cycle
CUB.1_1,Camagüey,Province,CUB,Cuba,49.04,1316.64,6.225,22.297846952,31.874728728,light,moderate,269
SDN.10_1,Northern,State,SDN,Sudan,399.2344707,20.65966754,7.565555555555558,23.361778335000004,39.945918125,light,high,0.0
VNM.63_1,Yên Bái,Province,VNM,Vietnam,680.7,1741.5,5.1,21.1158161425,28.8073035775,light,moderate,329
TCD.3_1,Borkou,Region,TCD,Chad,508.9111675,34.93781726,6.906451612903224,23.468510849999998,38.769120369999996,light,moderate,0.0
SDN.12_1,River Nile,State,SDN,Sudan,401.0258398,47.10077519,7.702857142857144,25.08446689,41.15355601,light,high,0.0
OMN.6_1,Al Wusta,Region,OMN,Oman,105.4832536,102.7799043,8.066666666666666,19.3025591,32.58672512,light,high,0.0
IND.20_1,Maharashtra,State,IND,India,434.5204617,1219.989507,7.355421686746988,19.788224004999996,32.391003935,heavy,moderate,149
VNM.52_1,Sơn La,Province,VNM,Vietnam,837.326087,1529.152174,5.1,20.385513653,28.738573227,light,moderate,329
VNM.56_1,Thái Nguyên,Province,VNM,Vietnam,180.1666667,1790.166667,5.1,24.12570488,31.24944488,light,moderate,329
MEX.11_1,Guanajuato,State,MEX,Mexico,1990.050505,592.3232323,6.859999999999999,11.615390940000001,27.58508796,light,moderate,149
MLI.4_1,Kidal,Region,MLI,Mali,452.4853933,76.44719101,7.478048780487804,25.926036895000003,40.606655545,light,high,0.0
MEX.22_1,Querétaro,State,MEX,Mexico,1824.810811,606.2972973,7.649999999999999,12.547956639999999,27.31337828,light,moderate,179
MEX.31_1,Yucatán,State,MEX,Mexico,26.48717949,1074.435897,6.144444444444445,20.31948675,33.95448419,light,moderate,239
MEX.23_1,Quintana Roo,State,MEX,Mexico,33.8880597,1204.089552,6.392307692307692,21.003339885,32.872840714999995,light,moderate,299
VNM.44_1,Phú Thọ,Province,VNM,Vietnam,147.5,1633.2,5.1,23.95691637,30.88234333,light,moderate,299
VNM.49_1,Quảng Ninh,Province,VNM,Vietnam,170.8333333,2100.611111,5.1,24.230512817,30.428198323,light,moderate,365
CUB.10_1,Las Tunas,Province,CUB,Cuba,41.61904762,1131.714286,7.050000000000001,22.6018930845,31.967573455500002,heavy,moderate,239
MMR.11_1,Rakhine,State,MMR,Myanmar,228.447619,3658.2,5.144444444444444,21.842984795,30.810173345000003,heavy,high,269
LAO.7_1,Louang Namtha,Province,LAO,Laos,904.9,1694.6,5.1,18.96570826,29.97290488,light,moderate,299
MEX.13_1,Hidalgo,State,MEX,Mexico,1793.132353,878.1911765,6.8,11.867516145,26.323374994999998,light,moderate,239
MRT.4_1,Dakhlet Nouadhibou,Region,MRT,Mauritania,65.28846154,32.53846154,6.566666666666667,21.56098565,33.98887603,light,moderate,0.0
