GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN,pH
KHM,Cambodia,KHM.22_1,St?�ng Tr?�ng,Province,55.625,15.450000000000001,28.925000000000004,1.915,14.0,5.175
KHM,Cambodia,KHM.20_1,R??t?�n??kiri,Province,47.0,15.3,37.6,1.885,14.5,5.199999999999999
VNM,Vietnam,VNM.21_1,Gia Lai,Province,44.94,17.919999999999998,37.1,2.18,14.2,5.159999999999999
VNM,Vietnam,VNM.8_1,B?�nh ?��?�nh,Province,53.6,15.8,30.6,2.25,14.0,5.1
PHL,Philippines,PHL.24_1,Cavite,Province,38.2,36.6,25.2,3.02,11.0,6.0
PHL,Philippines,PHL.40_1,Laguna,Province,68.4,10.5,21.2,0.6,10.0,6.3
SLV,El Salvador,SLV.13_1,Sonsonate,Department,64.5,26.2,9.3,1.4,11.0,6.3
SLV,El Salvador,SLV.4_1,Cuscatl?�n,Department,64.5,26.2,9.3,1.4,11.0,6.3
SLV,El Salvador,SLV.9_1,San Miguel,Department,68.4,10.5,21.2,0.6,10.0,6.3
SLV,El Salvador,SLV.7_1,La Uni??n,Department,40.1,21.5,38.4,1.44,10.0,5.7
NIC,Nicaragua,NIC.16_1,Nueva Segovia,Department,53.65,19.95,26.5,1.835,12.0,5.65
SEN,Senegal,SEN.3_1,Fatick,Region,38.9,17.6,43.6,1.57,13.0,5.2
GMB,Gambia,GMB.3_1,Maccarthy Island,Division,70.8,12.8,16.5,1.15,14.0,6.6
BFA,Burkina Faso,BFA.10_1,Nord,Region,68.3,15.1,16.6,0.5,9.0,6.400000000000001
BFA,Burkina Faso,BFA.4_1,Centre-Nord,Region,71.5,12.299999999999999,16.242857142857144,0.47428571428571425,10.428571428571429,6.3999999999999995
NGA,Nigeria,NGA.34_1,Sokoto,State,89.16,4.08,6.94,0.238,10.4,6.32
NGA,Nigeria,NGA.8_1,Borno,State,63.507692307692295,13.984615384615383,22.576923076923073,0.7084615384615385,12.384615384615385,6.93076923076923
SDN,Sudan,SDN.17_1,West Kurdufan,State,37.75454545454546,14.445454545454544,47.81818181818182,0.6845454545454545,15.090909090909092,7.145454545454546
SDN,Sudan,SDN.13_1,Sennar,State,23.684615384615384,24.53076923076923,51.7,0.7184615384615383,13.153846153846153,7.684615384615384
ETH,Ethiopia,ETH.3_1,Amhara,State,45.858974358974365,28.28461538461539,25.887179487179484,0.9694871794871796,9.615384615384615,6.674358974358975
YEM,Yemen,YEM.21_1,Ta`izz,Governorate,58.9,16.2,24.899999999999995,0.9700000000000001,11.0,7.099999999999999
YEM,Yemen,YEM.15_1,Lahij,Governorate,60.43333333333334,17.2,22.366666666666664,0.9,11.0,7.266666666666666
YEM,Yemen,YEM.2_1,Abyan,Governorate,58.9,16.2,24.9,0.97,11.0,7.1
THA,Thailand,THA.52_1,Ratchaburi,Province,61.7,14.4,23.9,0.91,14.0,5.4
THA,Thailand,THA.27_1,Nakhon Pathom,Province,42.8,20.4,36.8,1.3,12.0,6.4
THA,Thailand,THA.3_1,Bangkok Metropolis,Province,11.7,36.8,51.5,2.57,13.0,4.1
THA,Thailand,THA.6_1,Chachoengsao,Province,11.7,36.8,51.5,2.57,13.0,4.1
THA,Thailand,THA.55_1,Sa Kaeo,Province,50.3,16.0,33.75,1.24,13.5,5.300000000000001
KHM,Cambodia,KHM.1_1,B?�nt??ay M??anchey,Province,40.9,27.2,32.1,2.26,21.0,5.1
KHM,Cambodia,KHM.21_1,Siemr??ab,Province,48.46666666666667,20.666666666666668,30.933333333333334,1.49,15.666666666666666,5.633333333333333
PHL,Philippines,PHL.20_1,Camarines Sur,Province,25.1,12.2,62.7,0.68,19.0,7.2
HND,Honduras,HND.2_1,Choluteca,Department,23.3,26.0,50.7,1.1,28.0,7.4
NIC,Nicaragua,NIC.5_1,Chinandega,Department,36.4,37.2,26.4,1.07,9.0,6.9
NIC,Nicaragua,NIC.15_1,Matagalpa,Department,35.8,23.950000000000003,40.35,2.425,12.5,5.050000000000001
NIC,Nicaragua,NIC.2_1,Atl?�ntico Sur,Autonomous Region,29.4875,33.8125,36.575,2.83,11.625,5.1125
SEN,Senegal,SEN.14_1,Ziguinchor,Region,38.9,17.6,43.6,1.57,13.0,5.2
SEN,Senegal,SEN.11_1,S??dhiou,Region,49.4,15.5,35.15,1.15,14.0,5.85
SEN,Senegal,SEN.7_1,Kolda,Region,64.8,12.133333333333333,23.099999999999998,0.6166666666666667,14.0,6.466666666666666
SEN,Senegal,SEN.6_1,K??dougou,Region,67.67999999999999,14.219999999999999,18.12,0.572,10.0,6.539999999999999
BFA,Burkina Faso,BFA.1_1,Boucle du Mouhoun,Region,68.71,11.9,19.419999999999998,0.587,11.0,6.44
BFA,Burkina Faso,BFA.8_1,Est,Region,66.18461538461537,13.646153846153844,20.184615384615384,0.5161538461538461,10.153846153846153,6.476923076923077
NGA,Nigeria,NGA.37_1,Zamfara,State,71.28181818181818,11.018181818181818,17.772727272727277,0.6081818181818182,11.727272727272727,6.3909090909090915
NGA,Nigeria,NGA.21_1,Katsina,State,92.8,2.7,4.7,0.2,10.0,6.3
NGA,Nigeria,NGA.36_1,Yobe,State,76.9375,9.762500000000001,13.412500000000001,0.6412499999999999,11.875,6.449999999999999
TCD,Chad,TCD.8_1,Hadjer-Lamis,Region,67.475,10.174999999999999,22.400000000000002,0.6175,14.0,6.325
SDN,Sudan,SDN.4_1,Central Darfur,State,66.26363636363637,13.17272727272727,20.60909090909091,0.7418181818181817,11.181818181818182,6.836363636363635
IND,India,IND.31_1,Tamil Nadu,State,60.938235294117646,13.723529411764707,25.33823529411765,0.8505882352941175,10.882352941176471,6.402941176470588
THA,Thailand,THA.43_1,Phetchaburi,Province,53.6,15.8,30.6,2.25,14.0,5.1
THA,Thailand,THA.12_1,Chon Buri,Province,61.7,14.4,23.9,0.91,14.0,5.4
THA,Thailand,THA.9_1,Chanthaburi,Province,53.6,15.8,30.6,2.25,14.0,5.1
KHM,Cambodia,KHM.2_1,Batd?�mb?�ng,Province,56.48,14.8,28.72,0.844,14.4,6.4799999999999995
KHM,Cambodia,KHM.6_1,K?�mp??ng Thum,Province,46.574999999999996,22.3,31.225,1.6824999999999999,17.0,5.5
KHM,Cambodia,KHM.14_1,M??nd??l Kiri,Province,49.519999999999996,14.8,35.67999999999999,1.668,15.0,5.58
VNM,Vietnam,VNM.15_1,?��?�k L�?�k,Province,49.025,14.95,35.925,1.55,14.5,5.275
PHL,Philippines,PHL.57_1,Occidental Mindoro,Province,53.6,15.8,30.6,2.25,14.0,5.1
NIC,Nicaragua,NIC.11_1,Le??n,Department,68.4,10.5,21.2,0.6,10.0,6.3
NIC,Nicaragua,NIC.13_1,Managua,Department,33.8,38.400000000000006,27.799999999999997,2.5100000000000002,9.5,6.6
NIC,Nicaragua,NIC.3_1,Boaco,Department,32.0,27.55,40.45,3.3099999999999996,12.0,4.95
GNB,Guinea-Bissau,GNB.7_1,Oio,Region,59.29999999999999,12.533333333333331,28.233333333333334,0.9,11.666666666666666,5.966666666666666
GNB,Guinea-Bissau,GNB.1_1,Bafat?�,Region,66.75,12.899999999999999,20.4,0.6799999999999999,11.5,6.75
GNB,Guinea-Bissau,GNB.6_1,Gab??,Region,66.75,12.899999999999999,20.4,0.6799999999999999,11.5,6.75
GIN,Guinea,GIN.1_1,Bok??,Region,55.88000000000001,16.419999999999998,27.7,1.065,11.0,6.9
MLI,Mali,MLI.8_1,Sikasso,Region,68.77727272727273,11.268181818181818,20.018181818181816,0.5931818181818181,12.045454545454545,6.2272727272727275
BFA,Burkina Faso,BFA.5_1,Centre-Ouest,Region,69.58,11.42,18.919999999999998,0.6839999999999999,3.4,6.0
BFA,Burkina Faso,BFA.7_1,Centre,Region,68.3,15.1,16.6,0.5,9.0,6.4
BFA,Burkina Faso,BFA.11_1,Plateau-Central,Region,72.25,10.05,17.7,0.56,7.0,6.15
