type,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
LO 3,43.5,43.1,13.4,12.3,43.1,44.6,6.3,6.2,0.66,0.4,0.07,0.04,82,80,27.3,31,58,67,0,0,1.3,1.6,11,10
LP,69.9,57.5,10.5,10.9,19.5,31.6,5.9,5.6,0.73,0.35,0.76,0.08,72,61,7.1,9.2,34,28,0,0,1.8,1.6,2,10
LP 1,74.8,65.1,11,11.6,14.2,23.3,5.7,5.5,0.55,0.32,0.04,0.03,83,68,4.5,5.8,25,23,0,0,1.4,1.7,15,10
LP 2,65.1,49.9,10.1,10.2,24.9,39.9,6.1,5.7,0.92,0.42,0.76,0.04,61,55,9.8,12.5,43,34,0,0,1.8,1.6,2,10
LP 3,45,35,10,10,45,55,6.3,5.6,1,0.4,0.09,0.04,65,60,15,15,30,26,0,0,1.3,1.5,11,10
LV,26.1,26.8,27.3,22.5,46.7,50.9,6.6,7.1,1.86,0.84,0.19,0.04,88,94,29.4,36.1,67,63,1,3.6,1.5,1.5,11,11
LV 1,55,50,20,15,25,35,6.6,7,1,0.4,0.08,0.04,77,90,20,24,77,67,0,0.5,1.4,1.7,12,10
LV 2,48.4,36.3,28.3,25.1,23.3,38.7,6.6,8.4,0.49,0.19,0.04,0.02,77,97,18.4,29,83,75,3,7.2,1.4,1.6,12,10
LV 3,23.8,17.2,28,19.8,48.4,63,6.6,6.5,2.55,1.16,0.33,0.05,93,92,34.9,39.7,51,50,0,0,1.5,1.5,10,12
M,37.9,47.9,35,30.4,27.1,21.6,6.6,6.6,3.23,0.78,0.31,0.1,100,100,18.5,5.9,23,48,0,0,1.3,1.5,12,12
MG,30,25,50,45,20,30,6.3,6.5,4,1.4,0.4,0.18,75,80,26,22,60,60,0,0,1.4,1.6,10,8
MG 1,75,70,15,10,10,20,6.1,6.3,3,1,0.25,0.1,70,78,16,15,60,60,0,0,1.4,1.6,12,10
MG 2,30,25,50,45,20,30,6.3,6.5,4,1.4,0.4,0.18,75,80,26,22,60,60,0,0,1.4,1.5,10,8
MG 3,40,35,20,15,40,50,6.3,6.8,4.5,1.3,0.45,0.16,75,85,35,35,60,60,0,0.5,1.3,1.5,10,8
MO,33.3,29.2,46.4,44.2,20.4,26.7,6.1,5.8,3.65,1.11,0.31,0.1,70,60,26,20,60,60,0,0,1.3,1.5,12,12
MO 1,75,70,15,10,10,20,6.1,5.8,3,1,0.25,0.09,70,60,16,15,60,60,0,0,1.4,1.6,12,11
MO 2,33.3,29.2,46.4,44.2,20.4,26.7,6.1,5.8,3.65,1.11,0.31,0.1,70,60,26,20,60,60,0,0,1.3,1.5,12,12
MO 3,40,35,20,15,40,50,6.3,7,4,1.4,0.4,0.14,75,90,35,35,60,60,0,0.5,1.3,1.5,10,10
N,57.9,46.6,13.3,12,28.9,41.4,6,6.1,1.12,0.46,0.21,0.09,61,60,10.9,11,39,33,0,0.1,1.2,1.2,12,9
ND,38.9,31.9,17.6,13.8,43.6,54.4,5.2,5.2,1.57,0.44,0.16,0.08,29,23,12.5,9,31,19,0,0,1.1,1.2,13,8
ND 1,85.1,78.2,7.3,8.5,7.7,13.3,4.6,4.8,1.04,0.39,0.08,0.04,33,30,9.2,7.6,43,34,0,0,0.8,0.9,12,9
ND 2,55,45,20,20,25,35,5.2,5.2,1.5,0.5,0.14,0.06,30,30,12,10,43,27,0,0,1.1,1.2,11,8
ND 3,15.8,13,22.7,15.8,61.6,71.3,5.5,5.4,1.64,0.52,0.15,0.08,36,26,14.9,11.4,24,17,0,0,1.1,1.1,11,8
NE,68.4,57.8,10.5,10,21.2,32.2,6.3,6.5,0.6,0.32,0.18,0.07,75,77,8.8,11.1,41,39,0,0.1,1.3,1.2,10,9
NE 1,81.8,72.7,5.9,6.2,12.3,21.1,6.3,6.3,0.34,0.21,0.06,0.02,76,73,6,7.9,42,40,0,0,1.5,1.5,15,18
NE 2,57.1,46.9,18.1,15.6,24.8,37.3,6.3,6.9,0.89,0.47,0.29,0.1,70,84,10.9,16.7,39,39,0.1,0.5,1.2,1.1,10,4
NE 3,22.8,13.1,21.2,15.9,55.9,70.7,6.7,6.9,1.33,0.48,0.18,0.07,79,78,18.2,17.1,34,26,0,0,1.2,1,8,8
NH,6.4,5.4,29.8,21.5,63.9,73.3,5.5,5.4,4.04,1.47,0.34,0.15,42,41,26.8,18.2,43,27,0,0,0.9,1,11,9
NH 1,80,70,8,5,12,25,5.2,5.4,2,0.8,0.17,0.08,30,40,13,12,50,35,0,0,1,1.1,12,10
NH 2,55,45,20,15,25,40,5.3,5.4,3,1,0.28,0.11,35,40,23,18,50,35,0,0,0.9,1,11,9
NH 3,6.4,6.3,29.8,24.6,63.9,69.2,5.3,5.2,4.01,1.65,0.33,0.16,35,35,28.7,20.1,48,32,0,0,0.9,1,12,9
O,35,35,40,40,25,25,4.9,4.6,46.33,49.37,1.47,1.39,45,41,106.3,119.9,200,200,0,0,0.1,0.1,47,47
OD,35,35,40,40,25,25,4.2,4.1,47.3,49.76,1.13,0.87,19,21,104.9,121.9,200,200,0,0,0,0.1,57,60
OD 1,70,70,20,20,10,10,4.2,4.1,50,60,1,1.5,20,18,100,120,200,200,0,0,0.1,0.1,50,40
OD 2,35,35,40,40,25,25,4.2,4.1,50,60,1,1.5,20,18,100,120,200,200,0,0,0.1,0.1,50,40
OD 3,10,10,45,45,45,45,4.2,4.1,50,60,1,1.5,20,18,100,120,200,200,0,0,0.1,0.1,50,40
OE,35,35,40,40,25,25,6.3,5.3,41.46,46.78,2.51,2.54,93,87,108.8,127.9,200,200,0,0,0.2,0.1,19,20
OE 1,70,70,20,20,10,10,6.3,5.3,40,45,2.5,2.5,90,80,110,130,200,200,0,0,0.2,0.1,16,18
OE 2,35,35,40,40,25,25,6.3,5.3,40,45,2.5,2.5,90,80,110,130,200,200,0,0,0.2,0.1,16,18
OE 3,10,10,45,45,45,45,6.3,5.3,40,45,2.5,2.5,90,80,110,130,200,200,0,0,0.2,0.1,16,18
OX,35,35,40,40,25,25,4.2,4.1,56.1,55.58,1.11,1.16,77,79,107.9,103.8,200,200,0,0,0.1,0.1,51,48
OX 1,70,70,20,20,10,10,4.2,4.1,55,55,1.1,1.1,75,70,110,100,200,200,0,0,0.1,0.1,50,50
OX 2,35,35,40,40,25,25,4.2,4.1,55,55,1.1,1.1,75,70,110,100,200,200,0,0,0.1,0.1,50,50
OX 3,10,10,45,45,45,45,4.2,4.1,55,55,1.1,1.1,75,70,110,100,200,200,0,0,0.1,0.1,50,50
P,69.5,72,23.9,22.2,6.7,7,4.6,4.8,3.86,1.24,0.2,0.08,15,19,24.5,13.5,71,21,0,0,0.8,1,22,19
PF,64.9,66.9,26.3,23,8.5,10,5,5.4,1.25,0.28,0.18,0.13,21,33,1.8,1.5,17,14,0,0,1.1,1.3,11,2
PF 1,94,94.4,3.3,3.6,2,2,5.3,5.6,0.6,0.31,0.04,0.02,21,33,1.8,1.5,20,20,0,0,1.1,1.3,15,20
PF 2,35.7,39.4,49.3,42.4,15,17.9,4.7,5.2,1.9,0.25,0.18,0.13,10,20,4,3,20,16,0,0,1.1,1.3,11,2
PF 3,43,40,40,40,17,20,4.8,5.4,2,0.5,0.13,0.03,10,25,5,4,22,28,0,0,1.1,,15,20
PG,87.3,79.9,9.6,15.5,3.2,8.5,4.2,4.6,3.36,1.37,0.2,0.05,4,6,22.7,8.6,80,40,0,0,0.9,1.3,22,20
PG 1,87.3,79.9,12.3,15.5,3.2,8.5,4.2,4.6,3.36,1.37,0.2,0.05,4,6,22.7,8.6,80,40,0,0,0.9,1.3,22,20
PG 2,60,58,30,27,10,15,4.4,5,3.4,1,0.17,0.05,10,20,19,6.5,80,40,0,0,0.9,1.3,20,20
PG 3,43,40,40,40,17,20,4.4,5,3.4,1,0.17,0.05,10,20,21.9,8,80,37,0,0,0.9,1.3,20,20
PH,80.8,84.8,16.5,13.7,2.8,1.6,4.3,4.5,3.18,0.88,0.16,0.05,26,13,20.5,10.3,70,29,0,0,0.8,1.3,23,24
PH 1,96,93.9,3,4.9,1.1,1.3,4.3,4.5,1.11,1.2,0.08,0.04,48,3,3.2,15.8,70,30,0,0,0.8,1.3,15,44
PH 2,50.4,66.5,43.4,31.4,6.3,2.2,4.4,4.7,7.33,0.24,0.23,0.05,3,23,37.7,4.7,70,29,0,0,0.8,1.3,32,5
PH 3,43,40,40,40,17,20,4.5,4.9,5,0.5,0.25,0.03,10,20,29,6,70,30,0,0,0.8,1.3,25,20
PL,51.3,51.3,40.1,41,8.7,7.7,4.1,4.5,4.52,1.41,0.18,0.08,4,10,22,7,70,20,0,0,0.9,1.3,24,17
PL 1,90,90,9,8,1,2,4,4.4,3,1,0.12,0.05,3,8,1,1,70,20,0,0,1.1,1.3,25,20
PL 2,51.3,51.3,40.1,41,8.7,7.7,4.1,4.5,4.52,1.41,0.18,0.08,4,10,3,2,18,34,0,0,0.9,1.3,24,17
PL 3,43,40,40,40,17,20,4.2,4.6,3,1,0.12,0.05,5,10,10,7,48,31,0,0,1.1,1.3,25,20
PO,67.9,74.4,28.7,21.9,3.6,3.7,5,5.2,1.65,0.72,0.1,0.04,33,64,3.9,1,36,12,0,0,0.8,1.3,16,18
PO 1,91.4,90.9,8.2,7.2,0.8,2,4.7,5.4,0.44,0.28,0.04,0.02,20,70,2,1,70,49,0,0,0.7,1.3,19,19
PO 2,49,58,44,36.6,7,5.4,5.3,4.9,2.47,1.16,0.13,0.08,33,64,3.9,1,36,12,0,0,1,1.3,14,16
PO 3,43,40,40,40,17,20,4.7,5.5,2.5,1,0.17,0.05,20,80,15,6,79,27,0,0,0.9,1.3,15,20
PP,56.5,62.9,28.3,24.8,15.2,12.4,4.7,4.8,8.62,2.68,0.31,0.14,3,1,42.2,31.5,105,20,0,0,0.6,0.8,29,25
PP 1,98.6,96,1.1,2,0.3,2,4.9,4.3,0.94,1.75,0.04,0.05,1,1,6.3,14.5,70,20,0,0,1.1,1.3,24,35
PP 2,56.7,62.6,32.5,31.3,10.8,6.1,4.7,5.2,15.82,3.15,0.55,0.19,2,1,78.5,48.5,70,20,0,0,0.4,0.3,34,20
PP 3,22,30,38,41,40,29,4.6,4.8,1.88,0.9,0.08,0.04,7,10,41.7,20,105,20,0,0,0.7,1.3,24,20
Q,91.9,91.8,3.2,3,5,5.4,6.2,6.3,0.23,0.13,1.31,0.02,75,71,3.5,3,51,49,0.1,0.1,1.5,1.5,10,11
QA,92.6,92.4,3.6,3.7,3.7,5.8,5.9,5.8,0.87,0.1,0.06,0.01,43,37,3.7,2,29,31,0,0,1.4,1.5,15,12
QA 1,92.6,92.4,3.6,3.7,5.5,5.8,5.9,5.8,0.87,0.1,0.07,0.01,43,37,3.7,2,29,31,0,0,1.4,1.5,12,10
QA 2,93,84,3,3,4,8,5.5,5.9,1,0.2,0.09,0.02,40,55,5,3,30,30,0,0,1.4,1.5,11,10
QA 3,89,85,5,5,6,10,5.7,6,1.2,0.3,0.12,0.03,50,60,6,3,30,30,0,0,1.4,1.5,10,9
QB,92,92.4,3.1,2.8,4.9,5,6.4,6.4,0.21,0.12,3.01,0.02,81,79,3.8,3.2,59,55,0.1,0.1,1.5,1.5,10,11
QB 1,92,92.3,3.2,2.9,4.8,5,6.4,6.4,0.21,0.12,3.01,0.02,82,79,3.6,3.2,58,55,0.1,0.2,1.4,1.4,10,11
QB 2,89,83,3,5,8,12,6.4,6.6,1,0.25,0.1,0.03,75,82,8,5,50,50,0,0,1.4,1.5,10,9
QB 3,48.5,92.9,16,3,35.6,4.2,6.4,6.9,0.4,0.16,0.04,0.02,71,84,15.3,2.1,38,54,0,0,1.3,1.5,10,9
QF,91.7,91.2,3.3,3.1,5.1,5.8,5.9,6.4,0.27,0.15,0.04,0.01,68,61,3.1,2.5,37,38,0,0,1.5,1.6,12,13
QF 1,92,91.6,3,3,5,5.5,5.9,6.4,0.27,0.15,0.04,0.01,68,60,3,2.4,37,38,0,0,1.5,1.6,12,13
QF 2,90,86,3,4,7,10,6,5.5,0.5,0.15,0.05,0.02,70,45,4,4,35,35,0,0,1.4,1.5,11,10
QF 3,85,81,5,7,10,12,5.9,5.4,0.8,0.2,0.07,0.02,70,40,6,5,35,35,0,0,1.4,1.5,11,9
QL,92.8,91.7,2.7,2.9,4.7,5.5,6.3,6.1,0.2,0.12,0.02,0.02,74,72,3.5,3.2,58,57,0.2,0.4,1.4,1.5,10,5
QL 1,92.6,91.7,2.7,2.9,4.8,5.5,6.3,6,0.2,0.12,0.02,0.02,73,71,3.5,3.2,58,57,0.2,0.4,1.4,1.5,10,5
QL 2,87,80,3,5,10,15,6.3,6.1,0.8,0.2,0.09,0.02,73,70,8,8,50,50,0,0,1.4,1.5,10,9
QL 3,83,75,5,7,12,18,6.3,6.1,0.8,0.2,0.09,0.02,73,70,9,10,50,50,0,0,1.4,1.5,10,9
R,70.6,71.9,14.1,13.7,15.4,14.3,6.7,7,0.57,0.43,0.12,0.1,83,79,10.6,8.9,44,42,3.4,3.5,1.4,1.3,10,9
RC,63.5,62.8,19.2,18.4,17.3,18.7,7.6,7.6,0.76,0.41,0.28,0.04,89,89,10.7,11.2,52,50,15.1,1.9,1.5,1.5,11,9
RC 1,82.2,82.1,6.9,6.9,10.9,11.1,7.5,7.6,0.33,0.33,0.03,0.03,85,86,7,6.9,50,49,3,3.4,1.5,1.5,11,9
RC 2,38.7,37.1,35.5,33.8,25.8,28.8,7.5,7.6,0.58,0.52,0.05,0.06,93,93,15.4,17,57,53,1.2,0.9,1.5,1.5,11,9
RC 3,30,35,40,33,30,32,7.5,7.6,0.8,0.6,0.07,0.07,90,90,18,18,50,50,10,15,1.5,1.5,11,9
RD,82.1,79.2,6.7,5.7,11.3,15.1,7,6.8,0.27,0.15,0.02,0.01,79,65,10.8,8.5,24,23,0.1,0.1,1.5,1.5,15,12
RD 1,83,79.2,6.5,5.7,10.5,15.1,7,6.8,0.27,0.15,0.02,0.01,79,65,10.8,8.5,24,23,0.1,0.1,1.7,1.7,17,14
RD 2,40,44,37,38,23,18,6.2,5.6,0.5,0.16,0.03,0.01,65,45,8,5,25,25,0,0,1.5,1.5,15,12
RD 3,30,35,40,33,30,32,6,5.8,0.7,0.23,0.05,0.02,60,48,10,9,25,25,0,0,1.4,1.4,14,11
RE,68.3,71.6,15.1,15.2,16.6,13.2,6.4,6.8,0.5,0.45,0.06,0.06,83,76,10.2,6.7,44,42,1.6,6.4,1.4,1.2,9,7
RE 1,82.8,79.9,7.5,8.2,9.7,11.7,6.4,6.6,0.29,0.23,0.04,0.03,77,71,4.8,5.2,39,42,1.1,9.3,1.7,1.5,10,8
RE 2,38.7,43.8,36.9,38.2,24.6,17.9,6.9,7.1,0.82,1.04,0.13,0.13,88,89,16.9,11.6,51,42,3.9,1.6,1,0.9,9,7
RE 3,30,35,40,33,30,32,6.1,6.5,0.99,0.3,0.1,0.04,95,80,29.9,14,58,42,0,0,1.4,1.4,10,8
RX,82.5,87.5,9.9,6.3,7.7,6.3,5.4,5.5,1.7,0.77,0.18,0.16,79,80,19.8,21.5,70,60,0,0,1.5,1.5,10,13
RX 1,82.5,87.5,9.9,6.3,7.7,6.3,5.2,5,1.7,0.77,0.17,0.06,76,79,12.6,10.7,70,60,0,0,1.6,1.6,10,13
RX 2,40,44,37,38,23,18,5.4,5.5,2,0.8,0.2,0.07,75,75,23,14,70,60,0,0,1.5,1.5,10,12
RX 3,30,35,40,33,30,32,5.4,5.6,2.2,0.8,0.22,0.07,75,80,29,22,70,60,0,0,1.4,1.4,10,12
S,55.4,47.3,20.4,19.8,24.2,32.8,8.2,8.6,0.65,0.48,0.11,0.05,95,92,14.7,18.7,55,51,1.3,4.7,1.3,1.4,9,9
SG,53.9,37.7,25.5,26.2,20.6,36.1,8,8.7,0.67,0.45,0.1,0.05,91,89,10.8,17.5,51,43,0,0,1.4,1.3,11,16
SG 1,79.7,58,8.9,10.9,11.5,31.2,7.9,9.5,0.26,0.1,0.03,0.01,97,100,6.3,14.4,50,47,0,0,1.4,1.8,10,9
SG 2,35.4,21.5,44.9,40.3,19.5,38.1,7.1,7.7,0.5,0.2,0.07,0.04,84,78,10.4,17.5,53,38,0,0,1.4,1.3,7,7
SG 3,39.3,29.5,19.7,28.5,41,42,9.9,9.2,1.82,1.31,0.13,0.05,100,100,20.7,23.7,50,40,5,10,1.4,1.7,14,26
SM,51.7,59.7,31.9,21,16.4,19.2,7.6,8.5,1.14,0.46,0.15,0.07,92,92,16.1,18.2,83,69,4.2,8.5,1.4,1.6,9,6
SM 1,80,60,10,15,10,25,7.5,8.5,1.2,0.4,0.13,0.05,92,92,12,21,80,70,4,8,1.3,1.8,9,8
SM 2,55.4,59.7,25,21,19.6,19.2,7.6,8.5,1.14,0.46,0.15,0.07,92,92,16.1,18.2,83,69,4.2,8.5,1.4,1.6,9,6
SM 3,40,35,20,15,40,50,7.8,9,1.5,0.5,0.17,0.06,95,100,37,37,80,70,5,10,1.3,1.7,9,8
SO,57.6,47.2,13.5,16.8,29,35.9,8.5,8.7,0.39,0.51,0.08,0.03,97,93,15.7,19.4,48,50,0.5,3,1.2,1.4,9,8
SO 1,86.6,69.4,9.6,13.2,3.7,17.5,6.6,7.1,0.44,3.06,0.05,0.38,90,58,16.6,22,50,55,0.1,0.4,1.4,1.8,9,8
SO 2,59.5,47.7,16.4,20.5,24.4,31.6,8.8,9.4,0.4,0.19,0.08,0.03,98,100,12.4,17.6,50,53,0.5,5,0.9,1,10,8
SO 3,40.4,35.4,11.2,13,48.5,51.6,9.2,8.2,0.37,0.19,0.07,0.03,100,100,20.3,21,45,45,1,1.5,1.3,1.7,7,7
T,42.1,43.1,38.1,38.3,19.8,18.7,5.8,6.1,5.23,2.63,0.39,0.24,43,43,29.8,25.4,64,61,0.3,0.3,0.8,0.8,17,13
TH,41,42.6,41.3,41,17.7,16.4,5.4,5.7,7.03,3.66,0.47,0.31,19,19,34,28.5,78,69,0,0,0.6,0.6,22,16
TH 1,72.8,74.4,19.3,18.2,8,7.3,5.4,5.9,9.57,2.32,0.31,0.1,15,16,27.9,11.6,92,65,0,0,0.4,0.7,67,32
TH 2,34.3,36.2,49.5,49.9,16.2,13.9,5.3,5.7,6.97,4.42,0.46,0.23,19,18,36.5,32.2,91,79,0,0,0.7,0.6,13,13
TH 3,7.6,8.1,40.8,35,51.7,57,4.9,5,9.65,5.16,0.6,0.32,14,20,37.1,27.5,58,51,0,0,0.6,0.8,17,18
TM,31.2,27.5,39.6,42.8,29.2,30,6.3,6.5,3.95,1.93,0.34,0.16,77,69,33,28.6,45,54,1,1,1,0.9,10,10
TM 1,70,75,20,20,10,5,6.3,6.5,3.5,1.5,0.35,0.15,75,70,21,10,90,80,1,1,0.4,0.7,10,10
TM 2,38.5,34,44.5,49,17,17.3,6.5,6.9,4.35,2.37,0.33,0.17,74,75,29.8,27,90,83,1.5,1.4,1.1,1.1,11,12
