,GID_0,NAME_0,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN
ZMB.8_1,ZMB,Zambia,Northern,Province,29.833333333333332,19.711111111111105,50.45555555555555,4.082222222222223,11.5
TZA.17_1,TZA,Tanzania,Njombe,Region,54.1,16.566666666666666,29.36666666666667,1.0499999999999998,11.666666666666666
IDN.20_1,IDN,Indonesia,Nusa Tenggara Barat,Province,58.9,16.2,24.9,0.97,11.0
IDN.21_1,IDN,Indonesia,Nusa Tenggara Timur,Province,55.75,19.799999999999997,24.45,1.355,10.625
TLS.8_1,TLS,Timor-Leste,Ermera,District,53.6,15.8,30.6,2.25,14.0
TLS.11_1,TLS,Timor-Leste,Manatuto,District,58.9,16.2,24.9,0.97,11.0
TLS.13_1,TLS,Timor-Leste,Viqueque,District,58.9,16.2,24.9,0.97,11.0
BRA.5_1,BRA,Brazil,Bahia,State,64.6857142857143,11.753741496598638,23.61156462585034,0.8116326530612243,11.782312925170068
BRA.2_1,BRA,Brazil,Alagoas,State,68.73333333333333,11.050000000000002,20.266666666666666,1.03,12.333333333333334
ZMB.6_1,ZMB,Zambia,Muchinga,Province,46.324999999999996,16.466666666666665,37.208333333333336,1.3083333333333333,10.833333333333334
TZA.22_1,TZA,Tanzania,Ruvuma,Region,54.81666666666667,16.18888888888889,29.011111111111106,1.0561111111111112,12.166666666666666
BOL.6_1,BOL,Bolivia,Pando,Department,49.517647058823535,16.50588235294118,33.976470588235294,2.328823529411765,13.529411764705882
BRA.26_1,BRA,Brazil,Sergipe,State,58.95000000000001,14.0,27.049999999999997,1.4400000000000002,12.0
AGO.7_1,AGO,Angola,Cuanza Sul,Province,56.34615384615386,12.969230769230771,30.73076923076923,1.2461538461538462,11.923076923076923
MWI.5_1,MWI,Malawi,Chitipa,District,58.9,16.2,24.9,0.97,11.0
MWI.8_1,MWI,Malawi,Karonga,District,0.0,0.0,0.0,0.0,0.0
PNG.13_1,PNG,Papua New Guinea,Milne Bay,Province,32.7,30.3,37.1,3.28,12.0
PER.20_1,PER,Peru,Pasco,Region,50.45,22.175,27.375000000000004,3.4450000000000003,16.0
TZA.15_1,TZA,Tanzania,Mtwara,Region,64.91999999999999,11.4,23.72,1.136,12.0
PER.16_1,PER,Peru,Lima,Region,58.9,16.2,24.9,0.97,11.0
PER.12_1,PER,Peru,Jun?�n,Region,56.78000000000001,16.04,27.18,1.482,12.2
PER.18_1,PER,Peru,Madre de Dios,Region,53.471428571428575,14.847619047619048,31.657142857142862,1.879047619047619,13.952380952380953
BOL.3_1,BOL,Bolivia,El Beni,Department,53.18999999999999,16.494999999999997,30.124999999999993,1.5030000000000001,11.5
AGO.3_1,AGO,Angola,Bi??,Province,72.02777777777777,7.7444444444444445,20.28888888888889,0.7816666666666667,11.833333333333334
AGO.15_1,AGO,Angola,Moxico,Province,74.41190476190476,8.973809523809521,16.671428571428567,0.6414285714285715,12.119047619047619
ZMB.7_1,ZMB,Zambia,North-Western,Province,41.99333333333333,13.753333333333332,44.16333333333334,1.4983333333333333,13.266666666666667
MWI.25_1,MWI,Malawi,Rumphi,District,28.7,18.4,52.9,1.92,11.0
MOZ.1_1,MOZ,Mozambique,Cabo Delgado,Province,64.48571428571427,10.561904761904762,25.014285714285712,0.73,12.0
PER.8_1,PER,Peru,Cusco,Region,55.955000000000005,17.459999999999997,26.59499999999999,1.1869999999999998,11.45
AGO.9_1,AGO,Angola,Huambo,Province,33.13636363636363,17.200000000000003,49.65454545454545,1.887272727272727,11.545454545454545
MWI.17_1,MWI,Malawi,Mzimba,District,38.766666666666666,17.666666666666664,43.56666666666666,1.6033333333333333,11.0
MWI.19_1,MWI,Malawi,Nkhata Bay,District,0.0,0.0,0.0,0.0,0.0
MOZ.8_1,MOZ,Mozambique,Nassa,Province,50.18387096774193,14.193548387096774,35.65483870967743,1.2032258064516128,11.709677419354838
AUS.6_1,AUS,Australia,Northern Territory,Territory,70.71869688385269,9.99773371104816,19.302266288951838,0.5548158640226629,12.082152974504249
AUS.7_1,AUS,Australia,Queensland,State,51.26857749469214,16.040552016985135,32.6651804670913,0.7045859872611465,12.218683651804671
PER.15_1,PER,Peru,Lima Province,Province,58.9,16.2,24.9,0.97,11.0
